x_mm,y_mm,z_mm,U,W,urms,wrms,uw,uuu,www,uuw,uww
-43.0,0.0,333.0,42.455,-14.124,1.719,2.297,-0.313,2.241,34.065,7.171,-5.639
-43.0,0.0,343.0,42.64,-13.422,1.086,1.207,0.056,2.456,3.271,0.862,0.983
-43.0,0.0,353.0,42.683,-12.668,0.733,0.778,0.011,0.44,0.718,0.174,0.213
-43.0,0.0,363.0,42.712,-11.931,0.539,0.557,-0.001,0.092,0.181,0.062,0.051
-43.0,0.0,373.0,42.718,-11.272,0.44,0.417,-0.004,0.014,0.063,0.022,0.013
-43.0,0.0,388.0,42.751,-10.288,0.372,0.337,-0.008,-0.007,0.018,0.01,-0.001
-23.0,0.0,254.9,8.397,-4.982,6.679,5.204,-20.321,70.529,8.297,-36.927,9.571
-23.0,0.0,255.9,9.405,-5.672,6.815,5.88,-20.257,58.514,-11.05,-25.254,6.406
-23.0,0.0,256.9,9.831,-5.842,6.917,6.27,-20.073,60.819,-12.682,-31.488,9.2
-23.0,0.0,257.9,10.257,-6.075,6.979,6.621,-19.601,56.446,-17.444,-28.78,8.575
-23.0,0.0,258.9,10.716,-6.555,7.152,6.948,-19.51,66.806,-34.036,-35.188,15.374
-23.0,0.0,259.9,10.903,-6.516,7.163,7.192,-21.13,51.698,-37.51,-40.443,21.377
-23.0,0.0,260.9,11.249,-6.734,7.267,7.597,-20.54,45.306,-27.47,-37.491,16.591
-23.0,0.0,261.9,11.777,-7.028,7.308,7.734,-21.097,47.308,-41.204,-32.223,17.209
-23.0,0.0,262.9,12.241,-7.315,7.412,8.019,-21.521,46.993,-22.499,-23.751,12.127
-23.0,0.0,263.9,12.523,-7.391,7.475,8.094,-22.161,30.828,-29.023,-26.208,21.451
-23.0,0.0,264.9,12.917,-7.671,7.614,8.438,-24.269,28.94,-24.128,-33.872,19.978
-23.0,0.0,265.9,13.167,-7.728,7.714,8.487,-24.981,37.055,-2.472,-26.124,13.629
-23.0,0.0,266.9,13.713,-7.9,7.795,8.667,-25.957,38.453,-2.936,-30.118,15.399
-23.0,0.0,267.9,14.275,-8.298,7.852,8.71,-25.169,34.793,-3.006,-35.864,18.882
-23.0,0.0,268.9,14.674,-8.387,7.863,8.811,-26.557,23.69,4.605,-15.568,-3.053
-23.0,0.0,269.9,15.091,-8.696,7.91,8.9,-27.354,18.359,41.76,-8.657,-10.474
-23.0,0.0,270.9,15.496,-8.661,8.007,9.062,-27.788,24.753,39.151,-23.092,-4.948
-23.0,0.0,271.0,15.703,-8.667,8.02,9.152,-27.726,25.87,38.022,-23.175,-5.049
-23.0,0.0,273.0,16.713,-9.031,8.087,9.378,-30.545,30.048,109.356,-25.519,-46.901
-23.0,0.0,278.0,19.632,-10.393,8.587,9.565,-35.907,-85.272,253.945,52.572,-132.506
-23.0,0.0,283.0,22.703,-11.238,8.895,9.483,-38.849,-165.806,454.68,116.632,-226.726
-23.0,0.0,293.0,29.528,-13.352,8.447,8.58,-35.725,-448.672,629.382,287.113,-396.619
-23.0,0.0,303.0,35.927,-14.627,6.752,6.965,-21.341,-484.286,530.431,272.281,-348.979
-23.0,0.0,313.0,39.765,-14.899,4.197,5.039,-7.117,-172.234,259.294,109.63,-145.923
-23.0,0.0,323.0,41.324,-14.545,2.346,3.149,-1.401,-21.997,84.486,28.868,-32.696
-23.0,0.0,333.0,41.735,-13.941,1.383,1.778,-0.047,3.291,16.092,3.027,-0.473
-23.0,0.0,343.0,41.857,-13.219,0.911,1.027,0.051,1.346,2.04,0.585,0.585
-23.0,0.0,353.0,41.95,-12.501,0.64,0.681,-0.001,0.247,0.356,0.081,0.091
-23.0,0.0,363.0,42.002,-11.835,0.499,0.506,-0.01,0.043,0.098,0.03,0.028
-23.0,0.0,373.0,42.042,-11.208,0.433,0.393,-0.013,0.0,0.049,0.014,0.009
-23.0,0.0,388.0,42.15,-10.225,0.369,0.327,-0.012,-0.013,0.014,0.008,0.0
-3.0,0.0,246.3,11.098,-5.745,6.291,5.298,-17.371,65.475,-8.718,-56.879,32.438
-3.0,0.0,247.3,11.73,-6.174,6.32,5.733,-16.914,68.194,-19.344,-58.655,34.046
-3.0,0.0,248.3,12.25,-6.658,6.414,6.243,-17.224,59.519,-31.881,-59.183,37.583
-3.0,0.0,249.3,12.672,-6.916,6.572,6.6,-16.778,64.65,-38.752,-56.06,37.944
-3.0,0.0,250.3,13.07,-7.172,6.715,6.873,-17.281,75.595,-45.498,-60.934,42.472
-3.0,0.0,251.3,13.389,-7.329,6.717,7.096,-17.557,62.407,-37.383,-56.117,39.043
-3.0,0.0,252.3,13.418,-7.373,6.652,7.355,-17.523,52.364,-40.613,-54.685,39.659
-3.0,0.0,253.3,13.888,-7.657,6.748,7.608,-18.078,45.854,-45.599,-61.111,38.986
-3.0,0.0,254.3,14.003,-7.843,6.952,7.788,-18.672,60.626,-43.236,-63.414,44.777
-3.0,0.0,255.3,14.393,-7.959,6.944,7.911,-19.183,56.387,-49.212,-61.984,48.643
-3.0,0.0,256.3,14.886,-8.191,6.951,8.072,-20.634,51.358,-45.108,-56.56,34.593
-3.0,0.0,257.3,15.159,-8.379,7.132,8.185,-19.912,60.094,-26.802,-66.541,50.333
-3.0,0.0,258.3,15.639,-8.512,7.159,8.377,-21.205,30.168,-36.006,-49.81,40.422
-3.0,0.0,259.3,15.816,-8.709,7.216,8.461,-22.108,50.813,-19.932,-50.917,36.308
-3.0,0.0,260.3,16.286,-8.856,7.273,8.534,-21.9,40.733,-11.817,-49.708,29.046
-3.0,0.0,261.0,16.454,-8.991,7.29,8.538,-22.118,41.342,-7.387,-45.014,25.031
-3.0,0.0,263.0,17.203,-9.375,7.449,8.672,-25.437,49.023,33.615,-28.915,7.178
-3.0,0.0,268.0,19.455,-10.195,7.785,8.877,-28.133,30.278,127.372,-17.878,-37.537
-3.0,0.0,273.0,21.982,-11.17,8.094,9.059,-33.156,-63.526,285.012,50.365,-127.239
-3.0,0.0,283.0,27.957,-13.031,8.22,8.502,-33.521,-297.577,511.745,180.96,-273.552
-3.0,0.0,293.0,33.676,-14.442,7.225,7.209,-25.105,-447.317,491.468,266.643,-329.603
-3.0,0.0,303.0,37.852,-14.945,5.197,5.691,-11.633,-282.345,334.438,166.243,-218.344
-3.0,0.0,313.0,40.168,-14.929,2.99,3.806,-2.729,-58.068,136.187,44.96,-59.457
-3.0,0.0,323.0,40.969,-14.394,1.785,2.351,-0.438,-3.039,36.939,10.984,-11.597
-3.0,0.0,333.0,41.196,-13.701,1.106,1.364,0.117,3.126,7.553,1.074,1.183
-3.0,0.0,343.0,41.285,-12.997,0.752,0.848,0.029,0.702,0.737,0.215,0.381
-3.0,0.0,353.0,41.359,-12.321,0.55,0.601,0.006,0.187,0.187,0.065,0.087
-3.0,0.0,363.0,41.42,-11.677,0.459,0.458,-0.007,0.051,0.048,0.025,0.02
-3.0,0.0,373.0,41.491,-11.058,0.393,0.359,-0.01,0.016,0.028,0.01,0.007
-3.0,0.0,388.0,41.606,-10.111,0.356,0.322,-0.013,-0.003,0.012,0.009,-0.002
