# Residuals   
# Time        	Ux            	Uz            	p             	k             	omega         
325           	4.571102e-04	3.661948e-03	1.062445e-03	6.053512e-04	8.072003e-06
326           	4.736102e-04	3.759864e-03	1.086702e-03	6.302547e-04	8.234279e-06
327           	4.904417e-04	3.857752e-03	1.111782e-03	6.554781e-04	8.385182e-06
328           	5.076606e-04	3.959569e-03	1.138551e-03	6.811673e-04	8.552226e-06
329           	5.251000e-04	4.059151e-03	1.166527e-03	7.077499e-04	8.722390e-06
330           	5.428214e-04	4.160155e-03	1.199771e-03	7.345381e-04	8.899975e-06
331           	5.607816e-04	4.262098e-03	1.228837e-03	7.619185e-04	9.084560e-06
332           	5.790403e-04	4.364656e-03	1.263468e-03	7.898713e-04	9.270350e-06
333           	5.974301e-04	4.467824e-03	1.300377e-03	8.186210e-04	9.472572e-06
334           	6.160603e-04	4.568408e-03	1.339279e-03	8.480437e-04	9.669143e-06
335           	6.348227e-04	4.670265e-03	1.378813e-03	8.780701e-04	9.899893e-06
336           	6.537099e-04	4.772685e-03	1.417796e-03	9.087833e-04	1.009986e-05
337           	6.724994e-04	4.873741e-03	1.457839e-03	9.412307e-04	1.030384e-05
338           	6.914787e-04	4.971955e-03	1.502398e-03	9.746737e-04	1.055139e-05
339           	7.102727e-04	5.070634e-03	1.541391e-03	1.008437e-03	1.077748e-05
340           	7.287756e-04	5.168372e-03	1.582834e-03	1.044116e-03	1.101243e-05
341           	7.473797e-04	5.263226e-03	1.625974e-03	1.080874e-03	1.124650e-05
342           	7.657740e-04	5.354440e-03	1.663952e-03	1.118320e-03	1.149773e-05
343           	7.836215e-04	5.444764e-03	1.705378e-03	1.155937e-03	1.176000e-05
344           	8.015340e-04	5.530669e-03	1.738853e-03	1.195551e-03	1.198201e-05
345           	8.190657e-04	5.610658e-03	1.772999e-03	1.235732e-03	1.220838e-05
346           	8.360520e-04	5.689915e-03	1.801702e-03	1.276104e-03	1.247558e-05
347           	8.528744e-04	5.770689e-03	1.834432e-03	1.318680e-03	1.275208e-05
348           	8.690259e-04	5.837997e-03	1.863055e-03	1.362029e-03	1.300577e-05
349           	8.849893e-04	5.904979e-03	1.896056e-03	1.404877e-03	1.322149e-05
350           	9.002723e-04	5.971224e-03	1.912884e-03	1.448636e-03	1.352071e-05
351           	9.151496e-04	6.027569e-03	1.940185e-03	1.492936e-03	1.381603e-05
352           	9.293495e-04	6.079848e-03	1.970594e-03	1.538912e-03	1.405686e-05
353           	9.435129e-04	6.133630e-03	1.994631e-03	1.585159e-03	1.429319e-05
354           	9.566601e-04	6.183429e-03	2.015125e-03	1.630735e-03	1.459372e-05
355           	9.692098e-04	6.218304e-03	2.036791e-03	1.677201e-03	1.491017e-05
356           	9.817141e-04	6.259697e-03	2.061217e-03	1.724076e-03	1.512536e-05
357           	9.937820e-04	6.299707e-03	2.082769e-03	1.773967e-03	1.537275e-05
358           	1.004858e-03	6.333403e-03	2.088310e-03	1.823026e-03	1.562024e-05
359           	1.015672e-03	6.351973e-03	2.102287e-03	1.867962e-03	1.585920e-05
360           	1.026295e-03	6.386117e-03	2.124930e-03	1.917359e-03	1.602929e-05
361           	1.036338e-03	6.416762e-03	2.129977e-03	1.968239e-03	1.621821e-05
362           	1.045721e-03	6.438303e-03	2.137773e-03	2.016945e-03	1.640456e-05
363           	1.055121e-03	6.470994e-03	2.147751e-03	2.063041e-03	1.660521e-05
364           	1.063894e-03	6.504429e-03	2.159017e-03	2.113495e-03	1.667604e-05
365           	1.072003e-03	6.533579e-03	2.164232e-03	2.165092e-03	1.671954e-05
366           	1.080108e-03	6.569634e-03	2.168430e-03	2.212490e-03	1.683877e-05
367           	1.087715e-03	6.609940e-03	2.178628e-03	2.260778e-03	1.693267e-05
368           	1.094662e-03	6.652834e-03	2.195255e-03	2.310464e-03	1.702129e-05
369           	1.100874e-03	6.698786e-03	2.202974e-03	2.360674e-03	1.707589e-05
370           	1.107305e-03	6.759279e-03	2.215142e-03	2.408808e-03	1.723810e-05
371           	1.112856e-03	6.811263e-03	2.227302e-03	2.460292e-03	1.735656e-05
372           	1.117837e-03	6.874908e-03	2.243590e-03	2.512060e-03	1.756658e-05
373           	1.121707e-03	6.947962e-03	2.262241e-03	2.566469e-03	1.775398e-05
374           	1.123300e-03	7.021112e-03	2.286805e-03	2.622892e-03	1.805719e-05
375           	1.123646e-03	7.100836e-03	2.319259e-03	2.682118e-03	1.838780e-05
376           	1.122411e-03	7.189949e-03	2.357549e-03	2.738614e-03	1.883023e-05
377           	1.118922e-03	7.277909e-03	2.407987e-03	2.797519e-03	1.933976e-05
378           	1.112814e-03	7.376527e-03	2.462238e-03	2.856877e-03	1.993788e-05
379           	1.105076e-03	7.478599e-03	2.533966e-03	2.915028e-03	2.067185e-05
380           	1.097408e-03	7.578930e-03	2.628714e-03	2.965373e-03	2.149347e-05
381           	1.089690e-03	7.685686e-03	2.734605e-03	3.020725e-03	2.244502e-05
382           	1.080102e-03	7.810430e-03	2.859469e-03	3.068949e-03	2.363093e-05
383           	1.073801e-03	7.940033e-03	3.012636e-03	3.118862e-03	2.489425e-05
384           	1.073759e-03	8.085889e-03	3.187135e-03	3.159048e-03	2.623690e-05
385           	1.082617e-03	8.255493e-03	3.399067e-03	3.227735e-03	2.758562e-05
386           	1.104799e-03	8.460774e-03	3.637408e-03	3.310047e-03	2.944392e-05
387           	1.141677e-03	8.793216e-03	3.932141e-03	3.410341e-03	3.113710e-05
388           	1.194521e-03	9.229210e-03	4.252987e-03	3.516651e-03	3.287447e-05
389           	1.263787e-03	9.771370e-03	4.621061e-03	3.633341e-03	3.490384e-05
390           	1.347737e-03	1.038141e-02	5.010580e-03	3.790384e-03	3.677702e-05
391           	1.439406e-03	1.102933e-02	5.372185e-03	3.990068e-03	3.861006e-05
392           	1.533946e-03	1.166571e-02	5.676278e-03	4.174621e-03	4.037645e-05
393           	1.628788e-03	1.226991e-02	5.912320e-03	4.367059e-03	4.246476e-05
394           	1.720005e-03	1.275309e-02	5.937387e-03	4.524574e-03	4.380761e-05
395           	1.797892e-03	1.308563e-02	5.913631e-03	4.614096e-03	4.494116e-05
396           	1.853104e-03	1.333212e-02	5.864392e-03	4.661984e-03	4.564110e-05
397           	1.884118e-03	1.340509e-02	5.743827e-03	4.695173e-03	4.448426e-05
398           	1.886240e-03	1.346525e-02	5.581040e-03	4.684268e-03	4.372165e-05
399           	1.857287e-03	1.353225e-02	5.429578e-03	4.624059e-03	4.283474e-05
400           	1.796451e-03	1.366972e-02	5.282895e-03	4.542781e-03	4.159713e-05
401           	1.706542e-03	1.365418e-02	5.140935e-03	4.420656e-03	4.010930e-05
402           	1.595418e-03	1.335962e-02	4.973316e-03	4.264857e-03	3.829862e-05
403           	1.472459e-03	1.274301e-02	4.680911e-03	4.074552e-03	3.648051e-05
404           	1.342934e-03	1.186570e-02	4.220557e-03	3.848779e-03	3.434387e-05
405           	1.216167e-03	1.074051e-02	3.616566e-03	3.608515e-03	3.219992e-05
406           	1.091619e-03	9.504131e-03	2.967627e-03	3.387772e-03	3.013248e-05
407           	9.734118e-04	8.335671e-03	2.446554e-03	3.180116e-03	2.810622e-05
408           	8.620624e-04	7.236743e-03	2.039834e-03	3.009230e-03	2.617162e-05
409           	7.638590e-04	6.207890e-03	1.861810e-03	2.820213e-03	2.461306e-05
410           	6.825096e-04	5.296072e-03	1.847226e-03	2.661390e-03	2.317103e-05
411           	6.159972e-04	4.530017e-03	1.833702e-03	2.492868e-03	2.186225e-05
412           	5.613061e-04	3.937227e-03	1.799492e-03	2.340972e-03	2.070185e-05
413           	5.173234e-04	3.520232e-03	1.734329e-03	2.182948e-03	1.967760e-05
414           	4.861266e-04	3.260717e-03	1.648782e-03	2.050055e-03	1.872006e-05
415           	4.646209e-04	3.092162e-03	1.551114e-03	1.893455e-03	1.799235e-05
416           	4.471089e-04	2.953811e-03	1.442524e-03	1.765439e-03	1.735713e-05
417           	4.286668e-04	2.805313e-03	1.349017e-03	1.655466e-03	1.692272e-05
418           	4.139670e-04	2.643026e-03	1.274294e-03	1.552243e-03	1.649248e-05
419           	3.999947e-04	2.485088e-03	1.211090e-03	1.459845e-03	1.639388e-05
420           	3.924841e-04	2.392817e-03	1.178031e-03	1.394956e-03	1.632258e-05
421           	3.956488e-04	2.407178e-03	1.200460e-03	1.336432e-03	1.650686e-05
422           	4.115416e-04	2.502665e-03	1.300595e-03	1.285250e-03	1.676026e-05
423           	4.415775e-04	2.665857e-03	1.498723e-03	1.250053e-03	1.720138e-05
424           	4.805949e-04	2.889964e-03	1.764625e-03	1.226153e-03	1.767072e-05
425           	5.229194e-04	3.178680e-03	2.066398e-03	1.219632e-03	1.821217e-05
426           	5.678860e-04	3.537185e-03	2.397750e-03	1.231596e-03	1.888620e-05
427           	6.148372e-04	3.950198e-03	2.738156e-03	1.265076e-03	1.946429e-05
428           	6.640486e-04	4.409878e-03	3.065410e-03	1.322949e-03	2.015844e-05
429           	7.124875e-04	4.923741e-03	3.377400e-03	1.388906e-03	2.080101e-05
430           	7.589096e-04	5.441346e-03	3.629622e-03	1.464199e-03	2.134497e-05
431           	8.029712e-04	5.950876e-03	3.833222e-03	1.544768e-03	2.179854e-05
432           	8.436111e-04	6.440316e-03	3.970098e-03	1.627342e-03	2.223059e-05
433           	8.793313e-04	6.894880e-03	4.072301e-03	1.699201e-03	2.269383e-05
434           	9.101310e-04	7.299500e-03	4.137219e-03	1.768288e-03	2.295384e-05
435           	9.347968e-04	7.661429e-03	4.183895e-03	1.830330e-03	2.305390e-05
436           	9.537582e-04	7.945170e-03	4.206667e-03	1.886243e-03	2.311568e-05
437           	9.661383e-04	8.147895e-03	4.211331e-03	1.961218e-03	2.297426e-05
438           	9.764662e-04	8.284444e-03	4.191336e-03	2.001179e-03	2.264018e-05
439           	9.822552e-04	8.333571e-03	4.165265e-03	2.041419e-03	2.238455e-05
440           	9.837677e-04	8.321600e-03	4.140812e-03	2.067837e-03	2.193258e-05
441           	9.812528e-04	8.252194e-03	4.092093e-03	2.083046e-03	2.151215e-05
442           	9.776326e-04	8.156672e-03	4.069113e-03	2.096571e-03	2.099762e-05
443           	9.712858e-04	8.044130e-03	4.015503e-03	2.096858e-03	2.055078e-05
444           	9.676370e-04	7.944503e-03	4.018966e-03	2.084955e-03	2.014321e-05
445           	9.641059e-04	7.871402e-03	4.012344e-03	2.070140e-03	1.960612e-05
446           	9.644542e-04	7.849101e-03	4.080556e-03	2.049777e-03	1.901499e-05
447           	9.653238e-04	7.853533e-03	4.135648e-03	2.033053e-03	1.848390e-05
448           	9.706986e-04	7.925985e-03	4.202487e-03	2.011822e-03	1.764604e-05
449           	9.783573e-04	8.009385e-03	4.238275e-03	1.997626e-03	1.692555e-05
450           	9.897195e-04	8.125523e-03	4.292686e-03	1.979918e-03	1.628588e-05
451           	1.002665e-03	8.254718e-03	4.283905e-03	1.965314e-03	1.553430e-05
452           	1.017339e-03	8.393391e-03	4.244395e-03	1.954211e-03	1.478975e-05
453           	1.032102e-03	8.522038e-03	4.135127e-03	1.945125e-03	1.407344e-05
454           	1.046229e-03	8.638051e-03	3.951091e-03	1.940111e-03	1.353936e-05
455           	1.058479e-03	8.717263e-03	3.733484e-03	1.931244e-03	1.294530e-05
456           	1.067570e-03	8.750993e-03	3.490375e-03	1.918184e-03	1.243795e-05
457           	1.072483e-03	8.718385e-03	3.250939e-03	1.902094e-03	1.191778e-05
458           	1.071834e-03	8.599340e-03	3.071613e-03	1.887996e-03	1.148482e-05
459           	1.064943e-03	8.387611e-03	2.853617e-03	1.874917e-03	1.105457e-05
460           	1.051533e-03	8.097853e-03	2.631391e-03	1.852582e-03	1.065244e-05
461           	1.031476e-03	7.735755e-03	2.404750e-03	1.831097e-03	1.025722e-05
462           	1.006033e-03	7.323102e-03	2.190533e-03	1.810901e-03	9.932734e-06
463           	9.751656e-04	7.129464e-03	2.066299e-03	1.791341e-03	9.610553e-06
464           	9.453182e-04	6.551503e-03	1.763850e-03	1.771792e-03	9.329082e-06
465           	9.143103e-04	6.354274e-03	1.641140e-03	1.752715e-03	9.059450e-06
466           	8.850784e-04	5.827263e-03	1.387629e-03	1.732893e-03	8.809717e-06
467           	8.571979e-04	5.679899e-03	1.328792e-03	1.715107e-03	8.585254e-06
468           	8.313519e-04	5.229213e-03	1.165277e-03	1.698274e-03	8.346840e-06
469           	8.079233e-04	4.941233e-03	1.095623e-03	1.682824e-03	8.161192e-06
470           	7.858731e-04	4.699781e-03	1.052921e-03	1.668917e-03	7.990406e-06
471           	7.657973e-04	4.485843e-03	1.026659e-03	1.656556e-03	7.824584e-06
472           	7.475891e-04	4.293736e-03	1.007248e-03	1.645566e-03	7.680088e-06
473           	7.311326e-04	4.124813e-03	9.948399e-04	1.635935e-03	7.548308e-06
474           	7.162129e-04	3.975420e-03	9.845115e-04	1.627324e-03	7.431999e-06
475           	7.026694e-04	3.846140e-03	9.716946e-04	1.620057e-03	7.318292e-06
476           	6.903170e-04	3.735965e-03	9.490150e-04	1.613897e-03	7.215260e-06
477           	6.789959e-04	3.642008e-03	9.193433e-04	1.608486e-03	7.118170e-06
478           	6.684861e-04	3.568860e-03	8.814673e-04	1.603698e-03	7.025026e-06
479           	6.585638e-04	3.504916e-03	8.351950e-04	1.599162e-03	6.932451e-06
480           	6.488370e-04	3.444626e-03	7.909713e-04	1.594809e-03	6.839962e-06
481           	6.390338e-04	3.381948e-03	7.574983e-04	1.590415e-03	6.751385e-06
482           	6.290989e-04	3.316153e-03	7.397085e-04	1.585856e-03	6.666727e-06
483           	6.188954e-04	3.247792e-03	7.263208e-04	1.580863e-03	6.583906e-06
484           	6.084732e-04	3.175680e-03	7.157677e-04	1.575247e-03	6.506481e-06
485           	5.979103e-04	3.102440e-03	7.086878e-04	1.569067e-03	6.432717e-06
486           	5.872475e-04	3.028617e-03	7.022071e-04	1.562204e-03	6.361453e-06
487           	5.765527e-04	2.955678e-03	6.972871e-04	1.554825e-03	6.290584e-06
488           	5.658434e-04	2.883702e-03	6.954180e-04	1.546975e-03	6.224653e-06
489           	5.551524e-04	2.813035e-03	6.947439e-04	1.538819e-03	6.159634e-06
490           	5.445572e-04	2.743443e-03	6.936861e-04	1.530251e-03	6.097652e-06
491           	5.340408e-04	2.675894e-03	6.956980e-04	1.521201e-03	6.037755e-06
492           	5.235520e-04	2.609983e-03	6.976923e-04	1.511680e-03	5.979736e-06
493           	5.131869e-04	2.545707e-03	6.993300e-04	1.501710e-03	5.922914e-06
494           	5.029734e-04	2.482913e-03	6.984915e-04	1.491408e-03	5.864075e-06
495           	4.928746e-04	2.421927e-03	7.010822e-04	1.480715e-03	5.805132e-06
496           	4.828496e-04	2.362234e-03	7.055633e-04	1.469582e-03	5.744164e-06
497           	4.729875e-04	2.304069e-03	7.102435e-04	1.458058e-03	5.687615e-06
498           	4.632893e-04	2.246809e-03	7.142358e-04	1.446333e-03	5.629141e-06
499           	4.536997e-04	2.190912e-03	7.203838e-04	1.434371e-03	5.570347e-06
500           	4.442537e-04	2.136015e-03	7.299955e-04	1.422102e-03	5.511475e-06
501           	4.349404e-04	2.081958e-03	7.383662e-04	1.409335e-03	5.452317e-06
502           	4.257687e-04	2.028900e-03	7.472033e-04	1.396126e-03	5.390741e-06
503           	4.166870e-04	1.976645e-03	7.553351e-04	1.382567e-03	5.329804e-06
504           	4.077543e-04	1.925037e-03	7.641339e-04	1.368614e-03	5.268549e-06
505           	3.989545e-04	1.874057e-03	7.715553e-04	1.354597e-03	5.204726e-06
506           	3.902803e-04	1.823810e-03	7.789476e-04	1.340052e-03	5.141587e-06
507           	3.817435e-04	1.774398e-03	7.883797e-04	1.325347e-03	5.076070e-06
508           	3.733070e-04	1.725280e-03	7.936173e-04	1.310329e-03	5.011791e-06
509           	3.650381e-04	1.677108e-03	7.969312e-04	1.294990e-03	4.947274e-06
510           	3.568914e-04	1.629441e-03	7.983243e-04	1.279284e-03	4.882765e-06
511           	3.488907e-04	1.582340e-03	7.979422e-04	1.263212e-03	4.818625e-06
512           	3.410447e-04	1.536603e-03	7.965096e-04	1.246895e-03	4.754522e-06
513           	3.333468e-04	1.491183e-03	7.966253e-04	1.230428e-03	4.690942e-06
514           	3.258368e-04	1.446693e-03	7.966748e-04	1.213804e-03	4.629454e-06
515           	3.184830e-04	1.402936e-03	8.000043e-04	1.197060e-03	4.565321e-06
516           	3.113464e-04	1.360785e-03	8.070791e-04	1.180245e-03	4.501556e-06
517           	3.044072e-04	1.319799e-03	8.206347e-04	1.163313e-03	4.440250e-06
518           	2.977183e-04	1.280073e-03	8.451128e-04	1.146258e-03	4.376505e-06
519           	2.912753e-04	1.242535e-03	8.801192e-04	1.129238e-03	4.315647e-06
520           	2.851515e-04	1.206699e-03	9.229169e-04	1.112290e-03	4.255687e-06
521           	2.793309e-04	1.173164e-03	9.723103e-04	1.095432e-03	4.197217e-06
522           	2.738675e-04	1.143001e-03	1.040808e-03	1.078687e-03	4.130261e-06
523           	2.688109e-04	1.117680e-03	1.128450e-03	1.061978e-03	4.064413e-06
524           	2.641733e-04	1.096618e-03	1.221911e-03	1.045313e-03	3.994868e-06
525           	2.600502e-04	1.080065e-03	1.290878e-03	1.028738e-03	3.927301e-06
526           	2.564465e-04	1.068785e-03	1.319254e-03	1.012531e-03	3.861815e-06
527           	2.533992e-04	1.063447e-03	1.330525e-03	9.967924e-04	3.802741e-06
528           	2.509426e-04	1.063468e-03	1.388809e-03	9.814204e-04	3.746727e-06
529           	2.491016e-04	1.066581e-03	1.293659e-03	9.663783e-04	3.686787e-06
530           	2.475027e-04	1.068585e-03	1.489614e-03	9.516384e-04	3.633544e-06
531           	2.458644e-04	1.066890e-03	1.344729e-03	9.370025e-04	3.584664e-06
532           	2.437085e-04	1.057351e-03	1.092180e-03	9.224430e-04	3.517564e-06
533           	2.410011e-04	1.039544e-03	9.313433e-04	9.079653e-04	3.454081e-06
534           	2.378654e-04	1.017355e-03	8.780315e-04	8.935863e-04	3.398490e-06
535           	2.344222e-04	9.916308e-04	8.422951e-04	8.792503e-04	3.343781e-06
536           	2.307403e-04	9.648610e-04	8.035555e-04	8.649801e-04	3.289498e-06
537           	2.269452e-04	9.378660e-04	7.651474e-04	8.508202e-04	3.238914e-06
538           	2.231393e-04	9.117086e-04	7.376245e-04	8.367802e-04	3.189203e-06
539           	2.193743e-04	8.867424e-04	7.133119e-04	8.228634e-04	3.142017e-06
540           	2.156941e-04	8.629790e-04	6.917936e-04	8.090928e-04	3.094560e-06
541           	2.120980e-04	8.402273e-04	6.704529e-04	7.954821e-04	3.048415e-06
542           	2.085888e-04	8.187614e-04	6.491511e-04	7.821434e-04	3.003389e-06
543           	2.051990e-04	7.986243e-04	6.291015e-04	7.690039e-04	2.959425e-06
544           	2.018932e-04	7.797012e-04	6.111919e-04	7.560848e-04	2.916581e-06
545           	1.986939e-04	7.616843e-04	5.987426e-04	7.434136e-04	2.874560e-06
546           	1.956070e-04	7.448375e-04	5.904719e-04	7.310048e-04	2.832924e-06
547           	1.926365e-04	7.291780e-04	5.873203e-04	7.188700e-04	2.792148e-06
548           	1.897790e-04	7.145438e-04	5.837537e-04	7.069790e-04	2.753305e-06
549           	1.870288e-04	7.007204e-04	5.788066e-04	6.953334e-04	2.714787e-06
550           	1.843936e-04	6.879771e-04	5.695675e-04	6.839702e-04	2.677738e-06
551           	1.818727e-04	6.760223e-04	5.584694e-04	6.728905e-04	2.641390e-06
552           	1.794429e-04	6.647836e-04	5.491028e-04	6.620838e-04	2.606236e-06
553           	1.771087e-04	6.541149e-04	5.391319e-04	6.515251e-04	2.571872e-06
554           	1.748479e-04	6.437956e-04	5.293328e-04	6.412056e-04	2.538674e-06
555           	1.726722e-04	6.339107e-04	5.192716e-04	6.311071e-04	2.507066e-06
556           	1.705388e-04	6.240608e-04	5.088016e-04	6.212514e-04	2.476504e-06
557           	1.684503e-04	6.143125e-04	4.979333e-04	6.116076e-04	2.446918e-06
558           	1.664076e-04	6.045159e-04	4.878790e-04	6.022043e-04	2.418449e-06
559           	1.643915e-04	5.946973e-04	4.778431e-04	5.929788e-04	2.391315e-06
560           	1.624096e-04	5.849125e-04	4.684061e-04	5.839174e-04	2.365048e-06
561           	1.604501e-04	5.749813e-04	4.588671e-04	5.750198e-04	2.339529e-06
562           	1.585242e-04	5.650999e-04	4.510033e-04	5.662920e-04	2.314918e-06
563           	1.566235e-04	5.551787e-04	4.433939e-04	5.577397e-04	2.291038e-06
564           	1.547527e-04	5.452887e-04	4.359767e-04	5.493499e-04	2.267144e-06
565           	1.529105e-04	5.354598e-04	4.298077e-04	5.411275e-04	2.244161e-06
566           	1.510969e-04	5.257340e-04	4.243496e-04	5.330930e-04	2.222148e-06
567           	1.493132e-04	5.161225e-04	4.194336e-04	5.252222e-04	2.200496e-06
568           	1.475610e-04	5.066729e-04	4.148036e-04	5.174907e-04	2.179393e-06
569           	1.458383e-04	4.973891e-04	4.097778e-04	5.099272e-04	2.159164e-06
570           	1.441564e-04	4.883280e-04	4.052739e-04	5.024942e-04	2.139093e-06
571           	1.425000e-04	4.794856e-04	4.009288e-04	4.951936e-04	2.119882e-06
572           	1.408771e-04	4.708718e-04	3.955019e-04	4.880559e-04	2.101517e-06
573           	1.392879e-04	4.625186e-04	3.896176e-04	4.810710e-04	2.084143e-06
574           	1.377317e-04	4.544894e-04	3.848925e-04	4.742412e-04	2.067738e-06
575           	1.362090e-04	4.466638e-04	3.806704e-04	4.675532e-04	2.050541e-06
576           	1.347209e-04	4.391172e-04	3.770875e-04	4.609942e-04	2.033898e-06
577           	1.332591e-04	4.318596e-04	3.719823e-04	4.545696e-04	2.018412e-06
578           	1.318329e-04	4.248480e-04	3.669647e-04	4.482615e-04	2.003500e-06
579           	1.304354e-04	4.180767e-04	3.610276e-04	4.420706e-04	1.989038e-06
580           	1.290674e-04	4.115561e-04	3.550301e-04	4.359871e-04	1.974622e-06
581           	1.277263e-04	4.052938e-04	3.483889e-04	4.300341e-04	1.960790e-06
582           	1.264116e-04	3.992438e-04	3.405379e-04	4.241901e-04	1.947439e-06
583           	1.251224e-04	3.934341e-04	3.329698e-04	4.184394e-04	1.934747e-06
584           	1.238584e-04	3.878514e-04	3.262780e-04	4.127938e-04	1.922731e-06
585           	1.226171e-04	3.824889e-04	3.197339e-04	4.072561e-04	1.911034e-06
586           	1.213984e-04	3.773537e-04	3.130605e-04	4.018215e-04	1.899031e-06
587           	1.202017e-04	3.724617e-04	3.069659e-04	3.964999e-04	1.887801e-06
588           	1.190224e-04	3.677007e-04	3.010797e-04	3.912938e-04	1.877441e-06
589           	1.178642e-04	3.631913e-04	2.950436e-04	3.862000e-04	1.867512e-06
590           	1.167222e-04	3.588190e-04	2.889873e-04	3.812001e-04	1.857839e-06
591           	1.155973e-04	3.546046e-04	2.829347e-04	3.762904e-04	1.847571e-06
592           	1.144887e-04	3.505376e-04	2.771180e-04	3.714745e-04	1.837909e-06
593           	1.133953e-04	3.465857e-04	2.719398e-04	3.667564e-04	1.829500e-06
594           	1.123165e-04	3.427487e-04	2.670014e-04	3.621301e-04	1.821232e-06
595           	1.112513e-04	3.389982e-04	2.613745e-04	3.575931e-04	1.812949e-06
596           	1.101982e-04	3.353143e-04	2.559295e-04	3.531416e-04	1.804783e-06
597           	1.091602e-04	3.317611e-04	2.509652e-04	3.487743e-04	1.797608e-06
598           	1.081280e-04	3.281625e-04	2.457997e-04	3.444917e-04	1.790791e-06
599           	1.071084e-04	3.246059e-04	2.404470e-04	3.403044e-04	1.783627e-06
600           	1.061006e-04	3.211423e-04	2.366413e-04	3.361834e-04	1.776536e-06
601           	1.051012e-04	3.176895e-04	2.312806e-04	3.321317e-04	1.770289e-06
602           	1.041133e-04	3.143050e-04	2.259712e-04	3.281611e-04	1.764805e-06
603           	1.031368e-04	3.110638e-04	2.212124e-04	3.242592e-04	1.758881e-06
604           	1.021683e-04	3.077732e-04	2.157995e-04	3.204260e-04	1.751921e-06
605           	1.012132e-04	3.046059e-04	2.116587e-04	3.166645e-04	1.745159e-06
606           	1.002675e-04	3.014843e-04	2.071901e-04	3.129649e-04	1.739697e-06
607           	9.933436e-05	2.984664e-04	2.029014e-04	3.093206e-04	1.733951e-06
608           	9.841079e-05	2.955214e-04	1.989137e-04	3.057341e-04	1.728570e-06
609           	9.749992e-05	2.926471e-04	1.954076e-04	3.021996e-04	1.721975e-06
610           	9.659667e-05	2.897773e-04	1.912265e-04	2.987182e-04	1.711049e-06
611           	9.570375e-05	2.869688e-04	1.866648e-04	2.952952e-04	1.698214e-06
612           	9.481981e-05	2.841940e-04	1.825964e-04	2.919228e-04	1.688428e-06
613           	9.394372e-05	2.814574e-04	1.787382e-04	2.885992e-04	1.680204e-06
614           	9.307571e-05	2.788304e-04	1.754218e-04	2.853273e-04	1.670920e-06
615           	9.221163e-05	2.760579e-04	1.712225e-04	2.820955e-04	1.662365e-06
616           	9.135506e-05	2.733664e-04	1.679821e-04	2.789017e-04	1.653032e-06
617           	9.050112e-05	2.706380e-04	1.647069e-04	2.757564e-04	1.643975e-06
618           	8.965448e-05	2.679521e-04	1.617274e-04	2.726543e-04	1.635195e-06
619           	8.881179e-05	2.653156e-04	1.585704e-04	2.695997e-04	1.626155e-06
620           	8.797317e-05	2.626356e-04	1.559285e-04	2.665820e-04	1.617247e-06
621           	8.713808e-05	2.599014e-04	1.526481e-04	2.635873e-04	1.608142e-06
622           	8.630923e-05	2.572235e-04	1.490762e-04	2.606236e-04	1.599037e-06
623           	8.548484e-05	2.545335e-04	1.455704e-04	2.576956e-04	1.589926e-06
624           	8.466548e-05	2.518186e-04	1.423913e-04	2.548080e-04	1.580729e-06
625           	8.385058e-05	2.491450e-04	1.391421e-04	2.519605e-04	1.571532e-06
626           	8.304221e-05	2.464715e-04	1.360021e-04	2.491421e-04	1.562048e-06
627           	8.223947e-05	2.438001e-04	1.329157e-04	2.463518e-04	1.552539e-06
628           	8.144274e-05	2.411698e-04	1.302982e-04	2.435900e-04	1.543329e-06
629           	8.064974e-05	2.384761e-04	1.271795e-04	2.408534e-04	1.534345e-06
630           	7.986318e-05	2.358298e-04	1.252505e-04	2.381467e-04	1.525443e-06
631           	7.907856e-05	2.331127e-04	1.231616e-04	2.354704e-04	1.516580e-06
632           	7.830237e-05	2.304812e-04	1.202936e-04	2.328245e-04	1.507819e-06
633           	7.753315e-05	2.278493e-04	1.182282e-04	2.302124e-04	1.498788e-06
634           	7.676446e-05	2.251741e-04	1.153964e-04	2.276306e-04	1.489843e-06
635           	7.600553e-05	2.225565e-04	1.134011e-04	2.250745e-04	1.480649e-06
636           	7.524726e-05	2.199226e-04	1.112220e-04	2.225459e-04	1.471537e-06
637           	7.449976e-05	2.173355e-04	1.087600e-04	2.200465e-04	1.462364e-06
638           	7.375606e-05	2.147900e-04	1.064140e-04	2.175844e-04	1.453158e-06
639           	7.301929e-05	2.122637e-04	1.046320e-04	2.151540e-04	1.443972e-06
640           	7.228898e-05	2.097224e-04	1.026688e-04	2.127530e-04	1.434755e-06
641           	7.156636e-05	2.072491e-04	1.005529e-04	2.103797e-04	1.425524e-06
642           	7.085187e-05	2.048065e-04	9.910369e-05	2.080307e-04	1.416293e-06
643           	7.014144e-05	2.023486e-04	9.752015e-05	2.057038e-04	1.407041e-06
644           	6.944232e-05	1.999550e-04	9.578876e-05	2.034000e-04	1.397772e-06
645           	6.874881e-05	1.975831e-04	9.414070e-05	2.011251e-04	1.388481e-06
646           	6.806234e-05	1.952853e-04	9.257732e-05	1.988752e-04	1.379151e-06
647           	6.738172e-05	1.929683e-04	9.077745e-05	1.966634e-04	1.369803e-06
648           	6.670977e-05	1.906995e-04	8.954626e-05	1.944751e-04	1.360396e-06
