# Residuals            
# Time                 	Ux                     	Uy                     	Uz                     	p                      	k                      	omega                  
0                      	N/A	N/A	N/A	N/A
199                    	5.346162841074562e-05	2.861013020595247e-01	3.231885895885394e-01	1.147535939584395e-01	1.335500884791369e-04	1.916753663433691e-09
200                    	5.172850600510946e-05	3.678179023162748e-01	3.936034334939315e-01	1.024212767422481e-01	1.317310337440239e-04	1.882422808251676e-09
201                    	5.006904594777403e-05	2.290616452485200e-01	2.959893742349829e-01	1.104497954607322e-01	1.298933737606225e-04	1.849917507571347e-09
202                    	4.850376991159695e-05	3.664451644495367e-01	2.688202638275691e-01	1.076609042261549e-01	1.280378791832778e-04	1.819416863407701e-09
203                    	4.701428374599485e-05	3.410376128507810e-01	3.609601391242380e-01	1.007981725460067e-01	1.261569228641840e-04	1.789726448994401e-09
204                    	4.556062941539749e-05	2.818334264661896e-01	4.033287973373305e-01	1.053683623870926e-01	1.242595855838368e-04	1.761422005375235e-09
205                    	4.418294442719784e-05	3.867703418008667e-01	4.172902314042153e-01	1.022566614891157e-01	1.223458887102414e-04	1.734328785508066e-09
206                    	4.289097397820185e-05	3.735953558865307e-01	2.721986772907325e-01	1.009209683969975e-01	1.204130899772824e-04	1.708316587438810e-09
207                    	4.164424640025524e-05	3.389758707820272e-01	3.067446486195523e-01	8.937309407455105e-02	1.184676179015797e-04	1.683832611832012e-09
208                    	4.049536809786491e-05	2.521599112750991e-01	2.245576180138589e-01	8.624306460053774e-02	1.165180929608794e-04	1.659669218315018e-09
209                    	3.938361366481140e-05	2.212342977168681e-01	1.939056668241940e-01	8.216690753196115e-02	1.145556356795847e-04	1.636333781875710e-09
210                    	3.834400262085013e-05	3.107892572565142e-01	2.968135279805998e-01	1.025905343228469e-01	1.125865600672322e-04	1.614641268480139e-09
211                    	3.736029582162741e-05	4.245415190201618e-01	3.321947219433499e-01	9.305773775709543e-02	1.106121306994019e-04	1.593392529497519e-09
212                    	3.643658682699775e-05	3.467113690214154e-01	3.877675777766924e-01	9.327428754542839e-02	1.086313643598355e-04	1.572576169448400e-09
213                    	3.557384975477616e-05	2.348144426116792e-01	2.193458739375189e-01	8.162383252994605e-02	1.066500445944409e-04	1.552175117953152e-09
214                    	3.477756123652132e-05	3.611035472022590e-01	3.214338307556906e-01	1.035481054439311e-01	1.046662968844203e-04	1.532470395460334e-09
215                    	3.406604341003511e-05	2.783436620133067e-01	2.882518481366084e-01	1.051624677975729e-01	1.026796711256620e-04	1.513483590820749e-09
216                    	3.342054758887746e-05	4.527407316563184e-01	3.776069540096202e-01	9.183829770805367e-02	1.006952994157266e-04	1.494839611234596e-09
217                    	3.284263901853506e-05	3.994626696907620e-01	3.255749377007038e-01	9.422351130603901e-02	9.871122317885105e-05	1.476842018063124e-09
218                    	3.232759114414299e-05	3.991407613672033e-01	3.619548078216696e-01	9.620039304586152e-02	9.672933428363196e-05	1.458830146914800e-09
219                    	3.186713990333624e-05	3.169744174099571e-01	2.712124055381089e-01	1.061503146032064e-01	9.475960025608477e-05	1.441252494909174e-09
220                    	3.146838323760706e-05	3.648416336151306e-01	2.822252202427209e-01	9.921340250264438e-02	9.279337809332691e-05	1.424425571312669e-09
221                    	3.111734127629045e-05	3.970642982558702e-01	2.228815717416234e-01	8.293805015675418e-02	9.083424695124072e-05	1.407715453307642e-09
222                    	3.080898367474775e-05	2.096600157860929e-01	2.448670705906772e-01	9.573768282853003e-02	8.888165905095680e-05	1.391150189989191e-09
223                    	3.056330078776558e-05	2.796158019471405e-01	2.346059298235396e-01	9.394527312488371e-02	8.694179373366886e-05	1.374984646256038e-09
224                    	3.035903991916231e-05	1.895433232835069e-01	1.898582744577235e-01	8.016096282937575e-02	8.501393364332471e-05	1.359295407793741e-09
225                    	3.020019427268369e-05	3.421845122672528e-01	2.647600711666092e-01	1.235805878614037e-01	8.309499721609881e-05	1.343847793195781e-09
226                    	3.005852882876940e-05	6.298792621403361e-01	6.258527359186904e-01	1.587176094588857e-01	8.118683060879144e-05	1.328341547991393e-09
227                    	2.997057835997431e-05	5.924066532457876e-01	4.500399613732424e-01	1.318037617947650e-01	7.928952359510165e-05	1.313135989837939e-09
228                    	2.987023190431071e-05	3.178691686254187e-01	3.687040139585844e-01	1.367778699080077e-01	7.740591967899894e-05	1.298279793007827e-09
229                    	2.976573999627067e-05	3.955919895149625e-01	3.488236359591725e-01	1.177690824560635e-01	7.553826111008383e-05	1.283521697298477e-09
230                    	2.964852540165478e-05	3.224561831370505e-01	3.554902152690229e-01	1.227429990016290e-01	7.368661350970991e-05	1.268888236479639e-09
231                    	2.952012064315883e-05	4.270732078240090e-01	3.039478576551086e-01	1.140204976979358e-01	7.185008556858566e-05	1.254280350772769e-09
232                    	2.938577610605327e-05	2.756522137254313e-01	3.105624224529888e-01	1.119751046114389e-01	7.002953410948547e-05	1.240000389625061e-09
233                    	2.924413256574115e-05	3.289891487096137e-01	2.532738842268296e-01	1.092821457874058e-01	6.822560805405626e-05	1.225837770780772e-09
234                    	2.909464580267529e-05	4.293815089334905e-01	2.317094285757708e-01	9.926247318085732e-02	6.644046738122395e-05	1.211709579632364e-09
235                    	2.893440986712875e-05	2.463014026742733e-01	3.912639087335791e-01	1.082729734542946e-01	6.467786497138193e-05	1.197973882309385e-09
236                    	2.877061139591393e-05	4.190821723961226e-01	2.771683789475110e-01	1.174532191332011e-01	6.293388838346543e-05	1.184342481881798e-09
237                    	2.859834750947830e-05	3.206320517741619e-01	3.715623992090423e-01	1.054607955154754e-01	6.120879950643964e-05	1.170708799674614e-09
238                    	2.841899119055389e-05	3.775934075458093e-01	2.467482849104633e-01	1.270548718198927e-01	5.950427183221553e-05	1.157233277524064e-09
239                    	2.823512495113138e-05	4.698538318720044e-01	4.312333154265164e-01	1.324761570601401e-01	5.782272802595653e-05	1.143982207947914e-09
240                    	2.804495672499440e-05	3.875346046234738e-01	4.053741893551924e-01	1.139823875944004e-01	5.616578259178931e-05	1.130913550961496e-09
241                    	2.784814907948950e-05	4.244385156414699e-01	3.668977117918441e-01	9.928050749167644e-02	5.453006207384884e-05	1.117989833922914e-09
242                    	2.764697036152389e-05	2.780331682691062e-01	2.440578533868253e-01	1.161297309291986e-01	5.291595327318294e-05	1.105264381972712e-09
243                    	2.744545955588376e-05	2.993635283934792e-01	2.766064991877575e-01	8.947703867034011e-02	5.132397210386431e-05	1.092868226828786e-09
244                    	2.724403293135549e-05	2.163170924697647e-01	2.392630400112211e-01	1.021516017461608e-01	4.975503975748553e-05	1.080886398398074e-09
245                    	2.704396687411622e-05	3.160664099121440e-01	2.512809147263403e-01	9.982463495439321e-02	4.821178225718598e-05	1.069279832290043e-09
246                    	2.684354900116912e-05	2.433082380530580e-01	2.121775433795922e-01	9.190204386283742e-02	4.669230419982869e-05	1.057923717233780e-09
247                    	2.664150958628211e-05	4.164520646308257e-01	3.211514507167831e-01	1.358162002091427e-01	4.519891564371369e-05	1.046801718323661e-09
248                    	2.643688914130504e-05	4.275064021931905e-01	2.668261913762631e-01	1.027971932194356e-01	4.373092553293370e-05	1.035799094822665e-09
249                    	2.623089767501018e-05	2.204269505384938e-01	2.080071531787002e-01	1.007463767768963e-01	4.229102753439336e-05	1.024881052564860e-09
250                    	2.602794711894609e-05	2.844013341073208e-01	2.486635782163469e-01	9.512630035359640e-02	4.087628674976206e-05	1.013889454659532e-09
251                    	2.583202276318178e-05	2.882872679589673e-01	3.316663261290621e-01	1.006237500560084e-01	3.948635157658988e-05	1.002837091897070e-09
252                    	2.565183218582367e-05	3.220932935169268e-01	2.838500733694883e-01	1.020698112589474e-01	3.812137077236972e-05	9.916622770933029e-10
253                    	2.547679428404254e-05	4.381549918201197e-01	3.523657456560002e-01	1.097255145727922e-01	3.678152004426203e-05	9.804146522703049e-10
254                    	2.529689942043900e-05	3.398797577706281e-01	2.413956352025275e-01	1.231678059363374e-01	3.546700460251857e-05	9.690921922275519e-10
255                    	2.511044551568456e-05	3.700939651391466e-01	2.087905227796102e-01	1.158375704444290e-01	3.417831999176817e-05	9.575947480486316e-10
256                    	2.491384156267583e-05	3.603492664690172e-01	2.651032063870668e-01	1.606401449067605e-01	3.291560190963545e-05	9.459465842476745e-10
257                    	2.470773790681361e-05	3.744624775379446e-01	4.009651460500993e-01	1.391941156579857e-01	3.167854533454926e-05	9.341804949402261e-10
258                    	2.449246379185156e-05	3.805829993393339e-01	2.871288439223182e-01	1.341726409527333e-01	3.046776819722712e-05	9.222109317703991e-10
259                    	2.426894320601937e-05	4.090151247023255e-01	2.777952298760146e-01	1.301326813546675e-01	2.928372741203092e-05	9.101134300543113e-10
260                    	2.403517909362449e-05	3.676231982158759e-01	3.371552698348877e-01	1.409273224706012e-01	2.812526575958391e-05	8.978809868683316e-10
261                    	2.379195629664589e-05	3.128686430473815e-01	2.767519819674362e-01	9.361598019889590e-02	2.699229027118117e-05	8.855240454731097e-10
262                    	2.353940579389653e-05	3.116073664233378e-01	2.528602953197076e-01	1.297772402758926e-01	2.588473045441839e-05	8.729904976334839e-10
263                    	2.327769855747215e-05	3.881014819201755e-01	3.402506977538425e-01	1.048640953340090e-01	2.480270086275433e-05	8.602638489948343e-10
264                    	2.300793935603455e-05	3.448010836181118e-01	2.423909062486317e-01	1.265758418889941e-01	2.374634821190375e-05	8.474161223710771e-10
265                    	2.273375550756458e-05	4.768398245527858e-01	3.246056378080666e-01	1.197635328992032e-01	2.272380792992472e-05	8.344501981800480e-10
266                    	2.245122611473514e-05	2.462173112843647e-01	3.359392009935122e-01	1.124404521539387e-01	2.174165825380162e-05	8.213337724109599e-10
267                    	2.216143418601028e-05	5.430758977609916e-01	3.595466894765681e-01	1.300286809863044e-01	2.079406633651183e-05	8.080684971488287e-10
268                    	2.186480118453486e-05	3.326900974216215e-01	2.361854455728338e-01	1.257828130605483e-01	1.989008825984541e-05	7.946784120728047e-10
269                    	2.156219370389132e-05	3.541755205929740e-01	3.080671698553620e-01	1.146655063661667e-01	1.902839073770217e-05	7.811564275635739e-10
270                    	2.125380476854398e-05	2.386727087968795e-01	1.941511776180460e-01	1.106443994273712e-01	1.820490909906201e-05	7.675281039234187e-10
271                    	2.094034222869888e-05	3.551380183272639e-01	3.110587658092423e-01	1.068167609321087e-01	1.741316917464841e-05	7.538305854402325e-10
272                    	2.062133163875601e-05	3.975091951486241e-01	3.157592733674749e-01	1.175543089833087e-01	1.665913605394770e-05	7.400544732474357e-10
273                    	2.029721890641827e-05	4.514932491044190e-01	3.684951260879339e-01	1.238434938469372e-01	1.594658697513957e-05	7.262035608376169e-10
274                    	1.996845298339198e-05	3.877992323400289e-01	3.424941457755072e-01	1.302845563291306e-01	1.526864995383793e-05	7.123016829898143e-10
275                    	1.963561099644180e-05	4.372459012401620e-01	3.254070821065175e-01	1.238552452579328e-01	1.461683321627642e-05	6.983732751798769e-10
276                    	1.929918258407058e-05	4.023150428003839e-01	3.415196221037461e-01	1.150609211684662e-01	1.400020563608166e-05	6.844367913571897e-10
277                    	1.895975893577346e-05	2.773771688139068e-01	2.799246798300503e-01	1.092003313295752e-01	1.341450914475153e-05	6.705017137893752e-10
278                    	1.861761398590356e-05	6.507612228119304e-01	4.626807638377448e-01	1.398989195380818e-01	1.285562363637649e-05	6.565740957085259e-10
279                    	1.827359488007733e-05	5.646527197853699e-01	4.364182645868842e-01	1.145832860882744e-01	1.233369086960270e-05	6.426505064239021e-10
280                    	1.792834048611833e-05	2.566781161782536e-01	2.568882157638088e-01	1.084014565012694e-01	1.183391146753012e-05	6.287435352689977e-10
281                    	1.758164201443806e-05	5.850578589678926e-01	3.971683384488969e-01	1.180774543419960e-01	1.136093861098681e-05	6.148741984309748e-10
282                    	1.723375447249551e-05	2.858177547707353e-01	3.308149249026559e-01	1.155038721697201e-01	1.091285688663927e-05	6.010610268202195e-10
283                    	1.688499865251405e-05	4.260485018760893e-01	2.619024673512222e-01	1.055062575682543e-01	1.048671852249048e-05	5.872992962576001e-10
284                    	1.653571908590102e-05	2.030113153807290e-01	2.480913334283176e-01	1.241269338641601e-01	1.009084385882888e-05	5.736012178659207e-10
285                    	1.618643165221613e-05	5.918422818887135e-01	4.750753547293126e-01	1.566073809944954e-01	9.719257177446265e-06	5.599872244097209e-10
286                    	1.583737872753527e-05	6.465197293971460e-01	5.665375133435314e-01	1.497666718918436e-01	9.371104833079887e-06	5.464562336812161e-10
287                    	1.548881156916893e-05	3.223704696064654e-01	3.825844505167311e-01	1.376613692532200e-01	9.043628318018174e-06	5.330187703126912e-10
288                    	1.514105217896916e-05	5.464843840809958e-01	4.494724055090837e-01	1.458860717822181e-01	8.736229489249417e-06	5.196900691988243e-10
289                    	1.479440903008545e-05	5.879893253792259e-01	5.484337274512588e-01	1.521362480628304e-01	8.450408137899457e-06	5.065023383335129e-10
290                    	1.444917698086091e-05	4.626351043979529e-01	4.274086062949812e-01	1.052331849027244e-01	8.182071035865564e-06	4.934397531019047e-10
291                    	1.410563621321259e-05	3.093164925940028e-01	1.798701411925587e-01	1.249493248951769e-01	7.938299271256202e-06	4.805000715291433e-10
292                    	1.376420118321940e-05	4.183763175108048e-01	4.050475594344620e-01	1.057693001567227e-01	7.720485619561618e-06	4.676883895420151e-10
293                    	1.342527074451499e-05	1.786029965152292e-01	2.329496416472236e-01	1.032313834100604e-01	7.525246261351830e-06	4.550170442374421e-10
294                    	1.308879230103246e-05	2.987518622530012e-01	2.089442117950601e-01	1.090082092168971e-01	7.359064442595721e-06	4.425153331405880e-10
295                    	1.275499266321776e-05	3.081703254838405e-01	2.340651371359140e-01	8.308738647493984e-02	7.209084917247658e-06	4.301645530989200e-10
296                    	1.242409736652689e-05	2.349624382661571e-01	1.623205471575107e-01	9.025937781782509e-02	7.067460419775042e-06	4.179681121878989e-10
297                    	1.209636320675681e-05	2.418605643036378e-01	1.780631978887569e-01	8.827121459618771e-02	6.943756170168209e-06	4.059299275905557e-10
298                    	1.177183593478095e-05	1.459867826537729e-01	1.871943888710965e-01	9.370309420259264e-02	6.828514152860492e-06	3.940552466681246e-10
299                    	1.145066844665416e-05	2.906260375571410e-01	2.070725104652985e-01	8.184576271355273e-02	6.722820360751368e-06	3.823560754302439e-10
300                    	1.113300476849980e-05	2.262559308820490e-01	2.541573812162753e-01	1.014687641769488e-01	6.629471228322963e-06	3.708517445864998e-10
301                    	1.081898048275653e-05	3.531662551829087e-01	3.599060641455045e-01	1.252893158724357e-01	6.543906241812489e-06	3.595160403486021e-10
302                    	1.050872336566996e-05	4.512587907592022e-01	3.707491830341392e-01	1.252138238951004e-01	6.466612606768663e-06	3.483826575423354e-10
303                    	1.020235352083258e-05	3.220339489522916e-01	2.766393614293819e-01	8.464075158371431e-02	6.391719399613377e-06	3.374214391316987e-10
304                    	9.900011204028428e-06	2.291680667708283e-01	2.132097046278603e-01	8.989726650331162e-02	6.317173386191587e-06	3.266358759379678e-10
305                    	9.601862895336602e-06	3.855359496854066e-01	3.431195224315072e-01	1.124026168174692e-01	6.246780416508482e-06	3.160270933989548e-10
306                    	9.307946017291062e-06	3.494243311742233e-01	2.362723820229694e-01	9.277948445196484e-02	6.181761200340879e-06	3.056210690135195e-10
307                    	9.018315385082068e-06	2.923610221377904e-01	2.277948637064265e-01	8.169146763324257e-02	6.127128319666489e-06	2.954110033237463e-10
308                    	8.733055570503822e-06	2.008758408172412e-01	2.109152133422063e-01	9.234125054696436e-02	6.073028754535905e-06	2.853826562324247e-10
309                    	8.452244242623476e-06	3.158037905657113e-01	2.811372862368315e-01	9.447938597938896e-02	6.021512374611427e-06	2.755394814637872e-10
310                    	8.175952222514855e-06	4.941324736384699e-01	3.465927081657261e-01	1.266577764320451e-01	5.970253505666669e-06	2.659066662256246e-10
311                    	7.904243524733193e-06	3.784120786362311e-01	3.594625253213880e-01	9.496525611148066e-02	5.920622710381763e-06	2.564692444806251e-10
312                    	7.637175415770507e-06	4.511489546657184e-01	2.515351013064620e-01	1.068736185156377e-01	5.874312203455271e-06	2.472252193351775e-10
313                    	7.374825414210769e-06	3.836126166438279e-01	3.928058174742132e-01	1.125973096533059e-01	5.832092849677691e-06	2.381844348413376e-10
314                    	7.117256047767498e-06	4.579263463606301e-01	4.048263855627781e-01	1.096611206914389e-01	5.789903141029303e-06	2.293284175626233e-10
315                    	6.864554632150025e-06	4.245407109913348e-01	2.155452439097270e-01	1.116973473377889e-01	5.748678370042874e-06	2.206711722040440e-10
316                    	6.616692324535451e-06	2.501522340969238e-01	2.665324961089225e-01	1.160751160220205e-01	5.707264575768035e-06	2.122162550197998e-10
317                    	6.373647428757046e-06	5.610095474702405e-01	4.040823026560793e-01	1.671217889583011e-01	5.665323573758295e-06	2.039496475299578e-10
318                    	6.135444072170618e-06	5.311637605939391e-01	4.697208350385003e-01	1.558747709447192e-01	5.624349268831017e-06	1.959028632479518e-10
319                    	5.902130699827346e-06	3.377682773030576e-01	3.054437989132370e-01	1.288986262085550e-01	5.583853418383861e-06	1.880394562000722e-10
320                    	5.673796943246222e-06	3.261702636517932e-01	3.292664310842507e-01	1.230717112929901e-01	5.543076673284703e-06	1.803620372694212e-10
321                    	5.450322336228821e-06	2.625980394854454e-01	2.301961878126323e-01	1.029709016551911e-01	5.501226095361068e-06	1.728739998264861e-10
322                    	5.231699848763399e-06	2.069123915902291e-01	1.733015572907043e-01	9.700206072712618e-02	5.459763270210639e-06	1.655745815895659e-10
323                    	5.017922987893877e-06	2.057821188158428e-01	2.458120609649437e-01	9.599363303467344e-02	5.416851832262154e-06	1.584887622558701e-10
324                    	4.808980623660421e-06	1.764475982153407e-01	1.446477958470753e-01	1.010434835237996e-01	5.374182117090194e-06	1.515899374042801e-10
325                    	4.604857218340535e-06	2.173423962940486e-01	2.139114936403220e-01	8.559074233147504e-02	5.330989488323077e-06	1.448869889396161e-10
326                    	4.405533669299660e-06	1.992853599458732e-01	2.448210010764593e-01	9.651460481596655e-02	5.287079533927875e-06	1.383655691076784e-10
327                    	4.210986293990234e-06	3.171407299682334e-01	4.606920380323626e-01	9.822019751656330e-02	5.241984445112627e-06	1.320357596758102e-10
328                    	4.021187343286611e-06	2.807205856400373e-01	2.492653062388914e-01	1.156044270075763e-01	5.196499248483391e-06	1.258971782726792e-10
329                    	3.836804127258046e-06	4.071165025958309e-01	3.771216500208516e-01	1.048240359439170e-01	5.150303327161136e-06	1.202312533887984e-10
330                    	3.662187769003728e-06	3.890063907788813e-01	3.221093314524903e-01	1.018443955949458e-01	5.102969593448176e-06	1.150953105159574e-10
331                    	3.497145240535538e-06	3.694514448366467e-01	2.904033001957536e-01	1.111667330094543e-01	5.055384400407204e-06	1.102974460778131e-10
332                    	3.339968683663551e-06	2.461987031747640e-01	2.733028960770104e-01	1.189904375160260e-01	5.006433440480088e-06	1.059763783871746e-10
333                    	3.192585974998002e-06	4.163796211135072e-01	2.695224250849819e-01	1.069478285407896e-01	4.956969327416724e-06	1.020132255444619e-10
334                    	3.053500786723152e-06	3.028918599181518e-01	3.423548406003331e-01	1.329226948065081e-01	4.906458405962143e-06	9.835337156226160e-11
335                    	2.922066040588875e-06	3.600184127141450e-01	4.758311230464745e-01	9.731602578283957e-02	4.855092349158308e-06	9.498695260646548e-11
336                    	2.798996038949003e-06	2.952629294110251e-01	2.853417741856847e-01	1.143094258081266e-01	4.802843900360879e-06	9.193449924992994e-11
337                    	2.685296264341412e-06	3.241103358897613e-01	3.062539470803591e-01	8.834712969712272e-02	4.750085973448982e-06	8.916406708587044e-11
338                    	2.578472402112249e-06	4.655359917085237e-01	3.621110418699682e-01	1.422762288619719e-01	4.696229884474331e-06	8.655185322916560e-11
339                    	2.477523282465194e-06	5.620310314970296e-01	5.514973283872846e-01	1.599256027098117e-01	4.641864979482839e-06	8.407861320394114e-11
340                    	2.381990694120825e-06	6.489832442918123e-01	5.047917300275514e-01	1.249231267389137e-01	4.586391051666305e-06	8.183563849227345e-11
341                    	2.292020059113116e-06	4.164800010325923e-01	4.251489430792880e-01	1.624021914895397e-01	4.530299962044546e-06	7.973588434816827e-11
342                    	2.207971317383764e-06	6.432328041917412e-01	6.291144116516765e-01	1.544949926234017e-01	4.473562673255837e-06	7.773477974765277e-11
343                    	2.127918770747856e-06	5.592113408132758e-01	3.719186670734306e-01	1.117665080111623e-01	4.416038364982963e-06	7.583579012950022e-11
344                    	2.052698690590302e-06	5.029056585565616e-01	4.655649641663074e-01	1.686777691031541e-01	4.357987272460412e-06	7.401829243967027e-11
345                    	1.980398073364349e-06	6.724663565252309e-01	6.197067655244272e-01	1.929980874737286e-01	4.299175672665363e-06	7.233711762955830e-11
346                    	1.911935153222675e-06	6.581981083442516e-01	6.035328997865580e-01	1.601318945250502e-01	4.239780564262445e-06	7.076148345730133e-11
347                    	1.847553657929120e-06	3.434411583427998e-01	4.550909600557502e-01	1.128026378575391e-01	4.179788461770277e-06	6.928279567673543e-11
348                    	1.786505517881465e-06	5.672639448229085e-01	4.370610472995192e-01	1.516606859613215e-01	4.119261228629899e-06	6.786155906112487e-11
349                    	1.728748045479231e-06	5.527368110215342e-01	4.056081085809425e-01	1.384359993899291e-01	4.058262336174006e-06	6.650072204790447e-11
350                    	1.673192916312029e-06	2.648505817190513e-01	2.893024961127590e-01	1.318426345701974e-01	3.996746842124296e-06	6.518855429782378e-11
351                    	1.620029877214236e-06	3.167097844343298e-01	3.325836323067137e-01	1.105683535687695e-01	3.934913430360722e-06	6.395521454263039e-11
352                    	1.569771393863908e-06	4.165452141848041e-01	3.307125407562932e-01	1.446166116544296e-01	3.872679107833991e-06	6.277968387140163e-11
353                    	1.522357244395183e-06	5.542756933534034e-01	3.501669970702178e-01	1.148774374751035e-01	3.809997024820617e-06	6.163262879206341e-11
354                    	1.477383357654170e-06	4.471543835372923e-01	2.821555523595374e-01	1.059777687067730e-01	3.747295222467697e-06	6.052228411760349e-11
355                    	1.434442322917199e-06	2.961442454146280e-01	3.128924799769366e-01	1.242805473086033e-01	3.684189144764601e-06	5.943884652585714e-11
356                    	1.392723124728053e-06	3.894441933489736e-01	3.202947908304303e-01	9.562595187968667e-02	3.620946186858508e-06	5.840955940548085e-11
357                    	1.353741696703357e-06	2.418800324747974e-01	2.016946482725095e-01	8.703275686800246e-02	3.557602949545058e-06	5.743094551465658e-11
358                    	1.317030225121684e-06	3.902086639465662e-01	2.379395002263308e-01	1.056144294750394e-01	3.494136655415275e-06	5.648395443299395e-11
359                    	1.282805054830809e-06	2.995543143442032e-01	3.009963340017722e-01	9.165594756840949e-02	3.430627539815160e-06	5.555695717107001e-11
360                    	1.251001304499582e-06	3.220554061041073e-01	1.747829598716916e-01	1.167726863000716e-01	3.367171335362547e-06	5.465335883049341e-11
361                    	1.221140553168854e-06	4.564495941112336e-01	2.593283871626395e-01	9.823157106675143e-02	3.303655058383392e-06	5.378881577181176e-11
362                    	1.193729821665761e-06	3.092481500292152e-01	3.527220618267745e-01	1.109334726122447e-01	3.240305068123133e-06	5.295709411345817e-11
363                    	1.168863194430700e-06	2.985213856302961e-01	2.382343167025374e-01	1.079919085734780e-01	3.177030966988371e-06	5.215464826238124e-11
364                    	1.146976903920885e-06	4.032730106623162e-01	2.744671993571124e-01	1.266046853666731e-01	3.113887603415263e-06	5.138367794447588e-11
365                    	1.127022589377916e-06	2.826013033954249e-01	3.363983523960381e-01	1.105210654581394e-01	3.050991063135787e-06	5.062270111538852e-11
366                    	1.109446131845883e-06	2.661600615520567e-01	2.674403967476776e-01	9.123629754384416e-02	2.988327852342476e-06	4.987419847832356e-11
367                    	1.093831752605786e-06	2.195210653310952e-01	2.082450125931432e-01	9.584455216553529e-02	2.925804330732224e-06	4.915791056031444e-11
368                    	1.079515416626344e-06	2.955600055760151e-01	2.948001680870899e-01	9.706366463104320e-02	2.863682447798666e-06	4.846635367033630e-11
369                    	1.067503201007418e-06	2.675207149715964e-01	2.552692593108402e-01	9.228366439761974e-02	2.801799331159388e-06	4.778965266609667e-11
370                    	1.057451908138559e-06	2.675603884507822e-01	3.199000090415591e-01	1.024949604065973e-01	2.740203684681852e-06	4.713351997305020e-11
371                    	1.048526887110393e-06	3.318153698053171e-01	2.070057555167752e-01	8.992045902834682e-02	2.679059392139671e-06	4.649094869551783e-11
372                    	1.041706919839896e-06	2.213826944470439e-01	5.078859485209608e-01	1.049369920919726e-01	2.618230036609308e-06	4.587058568959209e-11
373                    	1.034634732899819e-06	5.609379468347377e-01	3.301885449106905e-01	1.465804119691195e-01	2.557800481202379e-06	4.526708268552238e-11
374                    	1.030322607417625e-06	5.639493612963705e-01	4.452259880589731e-01	1.252212377041594e-01	2.497864006775320e-06	4.467066689247158e-11
375                    	1.025794851793553e-06	3.645836464063237e-01	3.860888436870171e-01	9.234708872319801e-02	2.438326567509838e-06	4.408941544303996e-11
376                    	1.020892443137197e-06	3.402171157021273e-01	2.717069505842033e-01	1.146624420722133e-01	2.379311539459177e-06	4.351168931772051e-11
377                    	1.015662912750249e-06	4.583568822710715e-01	2.877368757781557e-01	9.368384085418673e-02	2.320799932103558e-06	4.294961529514793e-11
378                    	1.010115783652342e-06	1.982002287735652e-01	1.811603213705656e-01	9.935423516543228e-02	2.262791946475074e-06	4.239894651322661e-11
379                    	1.004429332326172e-06	3.338066136899205e-01	3.312454346710741e-01	9.991638474446629e-02	2.205387620672518e-06	4.185545064235496e-11
380                    	9.984765019910834e-07	3.031678025161046e-01	2.175171507850426e-01	8.975821389403529e-02	2.148536812358661e-06	4.131797807294183e-11
381                    	9.922328801770416e-07	4.547829885263567e-01	2.896285155391467e-01	1.066474313324329e-01	2.092299039657231e-06	4.078187320311487e-11
382                    	9.855891431641667e-07	2.956068871469383e-01	2.325803343610582e-01	1.056731624513414e-01	2.036669528600033e-06	4.026138143369357e-11
383                    	9.788093955021194e-07	3.059516736135593e-01	2.666907728570241e-01	8.614586470348246e-02	1.981692357838813e-06	3.974681827544401e-11
384                    	9.717599485495765e-07	2.781949898075267e-01	1.740739497669082e-01	9.759814201808044e-02	1.927367819128083e-06	3.923316555994227e-11
385                    	9.643752753104882e-07	3.254014326865892e-01	2.501788791876534e-01	9.639573075927312e-02	1.873726190166526e-06	3.872689116734594e-11
386                    	9.567933737382838e-07	2.540024433345076e-01	2.737007359282547e-01	9.246150309993231e-02	1.820768947425895e-06	3.823528247655863e-11
387                    	9.490567561029420e-07	2.504913710039718e-01	1.872033982928510e-01	9.533915116692342e-02	1.768526709853911e-06	3.774663265813348e-11
388                    	9.410364762773666e-07	3.495390103801779e-01	3.532418792268199e-01	9.196364048413738e-02	1.716999653400944e-06	3.725634077822255e-11
389                    	9.327619610378172e-07	2.197162567096589e-01	1.742228864960811e-01	9.949764965559384e-02	1.666204750444396e-06	3.677336778208198e-11
390                    	9.242476184509985e-07	2.306213515346180e-01	2.113091009273310e-01	9.056295815516287e-02	1.616155508149329e-06	3.629581931607306e-11
391                    	9.156741763437765e-07	2.488523586175593e-01	2.187397461992406e-01	9.658602124597250e-02	1.566853452981932e-06	3.582230225277603e-11
392                    	9.068719829129613e-07	4.777706183008960e-01	3.231667459783383e-01	1.227471395522039e-01	1.518316192265959e-06	3.534963929417722e-11
393                    	8.978902704395311e-07	5.299388432407752e-01	4.791850603162882e-01	1.211201237050393e-01	1.470548432405123e-06	3.487947929819170e-11
394                    	8.888431281208545e-07	3.045826990145262e-01	3.700011033016071e-01	1.008068169749924e-01	1.423555908059472e-06	3.441251575014818e-11
395                    	8.796946487803522e-07	4.178959400121253e-01	4.062906235396820e-01	1.205995574725789e-01	1.377346201568820e-06	3.395012693941467e-11
396                    	8.703727092577107e-07	5.488893408643578e-01	5.167188429925399e-01	1.218596080118979e-01	1.331926294556810e-06	3.349084753982990e-11
397                    	8.609398285502780e-07	4.355040223716515e-01	3.436395260716908e-01	1.024601832299418e-01	1.287300090974182e-06	3.303465638749571e-11
