zone,x,cp
alpha=10,0.012789,-4.5716
alpha=10,0.013601,-4.4929
alpha=10,0.014452,-4.4133
alpha=10,0.015343,-4.3334
alpha=10,0.016276,-4.2535
alpha=10,0.01725,-4.1739
alpha=10,0.018269,-4.0947
alpha=10,0.019333,-4.016
alpha=10,0.020443,-3.9379
alpha=10,0.021601,-3.8606
alpha=10,0.022809,-3.7842
alpha=10,0.024068,-3.7088
alpha=10,0.02538,-3.6343
alpha=10,0.026746,-3.5611
alpha=10,0.028167,-3.489
alpha=10,0.029646,-3.4181
alpha=10,0.031184,-3.3484
alpha=10,0.032783,-3.2801
alpha=10,0.034445,-3.213
alpha=10,0.036171,-3.1472
alpha=10,0.037964,-3.0827
alpha=10,0.039825,-3.0195
alpha=10,0.041756,-2.9577
alpha=10,0.043759,-2.8971
alpha=10,0.045837,-2.8378
alpha=10,0.04799,-2.7798
alpha=10,0.050222,-2.723
alpha=10,0.052535,-2.6675
alpha=10,0.05493,-2.6132
alpha=10,0.05741,-2.56
alpha=10,0.059977,-2.5081
alpha=10,0.062633,-2.4572
alpha=10,0.06538,-2.4075
alpha=10,0.068221,-2.3588
alpha=10,0.071158,-2.3113
alpha=10,0.074194,-2.2647
alpha=10,0.07733,-2.2191
alpha=10,0.080568,-2.1746
alpha=10,0.083912,-2.1309
alpha=10,0.087364,-2.0882
alpha=10,0.090925,-2.0464
alpha=10,0.094598,-2.0054
alpha=10,0.098386,-1.9653
alpha=10,0.10229,-1.926
alpha=10,0.10631,-1.8875
alpha=10,0.11046,-1.8497
alpha=10,0.11472,-1.8127
alpha=10,0.11911,-1.7764
alpha=10,0.12363,-1.7407
alpha=10,0.12828,-1.7058
alpha=10,0.13306,-1.6715
alpha=10,0.13797,-1.6378
alpha=10,0.14301,-1.6047
alpha=10,0.14819,-1.5722
alpha=10,0.15351,-1.5403
alpha=10,0.15897,-1.5089
alpha=10,0.16456,-1.478
alpha=10,0.1703,-1.4476
alpha=10,0.17618,-1.4178
alpha=10,0.1822,-1.3884
alpha=10,0.18837,-1.3595
alpha=10,0.19467,-1.3311
alpha=10,0.20112,-1.3031
alpha=10,0.20772,-1.2755
alpha=10,0.21446,-1.2483
alpha=10,0.22134,-1.2216
alpha=10,0.22837,-1.1952
alpha=10,0.23553,-1.1693
alpha=10,0.24284,-1.1437
alpha=10,0.25029,-1.1185
alpha=10,0.25787,-1.0937
alpha=10,0.26559,-1.0692
alpha=10,0.27345,-1.045
alpha=10,0.28144,-1.0213
alpha=10,0.28955,-0.99783
alpha=10,0.2978,-0.97473
alpha=10,0.30616,-0.95197
alpha=10,0.31465,-0.92954
alpha=10,0.32325,-0.90745
alpha=10,0.33197,-0.88568
alpha=10,0.34079,-0.86422
alpha=10,0.34972,-0.84309
alpha=10,0.35875,-0.82228
alpha=10,0.36787,-0.80179
alpha=10,0.37708,-0.78161
alpha=10,0.38638,-0.76175
alpha=10,0.39575,-0.74219
alpha=10,0.4052,-0.72294
alpha=10,0.41471,-0.704
alpha=10,0.42428,-0.68536
alpha=10,0.43391,-0.66703
alpha=10,0.44359,-0.649
alpha=10,0.45331,-0.63126
alpha=10,0.46306,-0.61383
alpha=10,0.47284,-0.59668
alpha=10,0.48265,-0.57982
alpha=10,0.49246,-0.56325
alpha=10,0.50229,-0.54697
alpha=10,0.51212,-0.53096
alpha=10,0.52194,-0.51524
alpha=10,0.53174,-0.49978
alpha=10,0.54153,-0.48459
alpha=10,0.55129,-0.46966
alpha=10,0.56102,-0.455
alpha=10,0.57071,-0.44059
alpha=10,0.58035,-0.42643
alpha=10,0.58993,-0.41251
alpha=10,0.59946,-0.39884
alpha=10,0.60892,-0.38539
alpha=10,0.61831,-0.37218
alpha=10,0.62763,-0.35919
alpha=10,0.63686,-0.34642
alpha=10,0.646,-0.33386
alpha=10,0.65505,-0.32151
alpha=10,0.66401,-0.30937
alpha=10,0.67286,-0.29742
alpha=10,0.6816,-0.28567
alpha=10,0.69023,-0.2741
alpha=10,0.69875,-0.26271
alpha=10,0.70715,-0.2515
alpha=10,0.71543,-0.24046
alpha=10,0.72358,-0.2296
alpha=10,0.7316,-0.2189
alpha=10,0.7395,-0.20836
alpha=10,0.74726,-0.19798
alpha=10,0.75489,-0.18775
alpha=10,0.76238,-0.17767
alpha=10,0.76973,-0.16775
alpha=10,0.77694,-0.15797
alpha=10,0.78402,-0.14834
alpha=10,0.79095,-0.13884
alpha=10,0.79774,-0.1295
alpha=10,0.80439,-0.12029
alpha=10,0.8109,-0.11122
alpha=10,0.81727,-0.10229
alpha=10,0.82349,-0.093501
alpha=10,0.82957,-0.084849
alpha=10,0.83551,-0.076335
alpha=10,0.84132,-0.067964
alpha=10,0.84698,-0.059736
alpha=10,0.8525,-0.051645
alpha=10,0.85789,-0.043698
alpha=10,0.86315,-0.035894
alpha=10,0.86827,-0.028238
alpha=10,0.87325,-0.020725
alpha=10,0.87811,-0.013355
alpha=10,0.88284,-0.0061391
alpha=10,0.88744,0.0009287
alpha=10,0.89191,0.0078428
alpha=10,0.89626,0.014603
alpha=10,0.9005,0.021215
alpha=10,0.90461,0.027674
alpha=10,0.9086,0.033974
alpha=10,0.91249,0.040125
alpha=10,0.91626,0.046117
alpha=10,0.91991,0.05195
alpha=10,0.92347,0.057635
alpha=10,0.92691,0.063167
alpha=10,0.93025,0.068539
alpha=10,0.9335,0.073763
alpha=10,0.93664,0.078839
alpha=10,0.93969,0.083761
alpha=10,0.94264,0.088534
alpha=10,0.9455,0.093165
alpha=10,0.94827,0.097647
alpha=10,0.95096,0.10199
alpha=10,0.95356,0.1062
alpha=10,0.95608,0.11027
alpha=10,0.95852,0.1142
alpha=10,0.96087,0.118
alpha=10,0.96316,0.12167
alpha=10,0.96537,0.12522
alpha=10,0.9675,0.12866
alpha=10,0.96957,0.13197
alpha=10,0.97157,0.13516
alpha=10,0.9735,0.13825
alpha=10,0.97537,0.14124
alpha=10,0.97718,0.14412
alpha=10,0.97892,0.1469
alpha=10,0.98061,0.1496
alpha=10,0.98224,0.15222
alpha=10,0.98381,0.15476
alpha=10,0.98534,0.15724
alpha=10,0.98681,0.15966
alpha=10,0.98823,0.16203
alpha=10,0.9896,0.16432
alpha=10,0.99092,0.16656
alpha=10,0.9922,0.16866
alpha=10,0.99344,0.17062
alpha=10,0.99463,0.1723
alpha=10,0.99578,0.17386
alpha=10,0.99689,0.1745
alpha=10,0.99797,0.17586
alpha=10,0.999,0.17031
alpha=10,1.0,0.18499
alpha=15,1.0,0.060268
alpha=15,0.999,0.045476
alpha=15,0.99797,0.052491
alpha=15,0.99689,0.057937
alpha=15,0.99578,0.062096
alpha=15,0.99463,0.065217
alpha=15,0.99344,0.06767
alpha=15,0.9922,0.069662
alpha=15,0.99092,0.071384
alpha=15,0.9896,0.072963
alpha=15,0.98823,0.074452
alpha=15,0.98681,0.075887
alpha=15,0.98534,0.07727
alpha=15,0.98381,0.078611
alpha=15,0.98224,0.079904
alpha=15,0.98061,0.081159
alpha=15,0.97892,0.082383
alpha=15,0.97718,0.083575
alpha=15,0.97537,0.084751
alpha=15,0.9735,0.085906
alpha=15,0.97157,0.087045
alpha=15,0.96957,0.088174
alpha=15,0.9675,0.089297
alpha=15,0.96537,0.09041
alpha=15,0.96316,0.091522
alpha=15,0.96087,0.09263
alpha=15,0.95852,0.093742
alpha=15,0.95608,0.09486
alpha=15,0.95356,0.095978
alpha=15,0.95096,0.097107
alpha=15,0.94827,0.098241
alpha=15,0.9455,0.09939
alpha=15,0.94264,0.10055
alpha=15,0.93969,0.10173
alpha=15,0.93664,0.10292
alpha=15,0.9335,0.10413
alpha=15,0.93025,0.10536
alpha=15,0.92691,0.10662
alpha=15,0.92347,0.10789
alpha=15,0.91991,0.1092
alpha=15,0.91626,0.11053
alpha=15,0.91249,0.11189
alpha=15,0.9086,0.11328
alpha=15,0.90461,0.1147
alpha=15,0.9005,0.11615
alpha=15,0.89626,0.11765
alpha=15,0.89191,0.11917
alpha=15,0.88744,0.12074
alpha=15,0.88284,0.12235
alpha=15,0.87811,0.124
alpha=15,0.87325,0.12569
alpha=15,0.86827,0.12743
alpha=15,0.86315,0.12921
alpha=15,0.85789,0.13104
alpha=15,0.8525,0.13292
alpha=15,0.84698,0.13486
alpha=15,0.84132,0.13684
alpha=15,0.83551,0.13888
alpha=15,0.82957,0.14098
alpha=15,0.82349,0.14313
alpha=15,0.81727,0.14534
alpha=15,0.8109,0.1476
alpha=15,0.80439,0.14993
alpha=15,0.79774,0.15232
alpha=15,0.79095,0.15478
alpha=15,0.78402,0.15729
alpha=15,0.77694,0.15989
alpha=15,0.76973,0.16253
alpha=15,0.76238,0.16526
alpha=15,0.75489,0.16805
alpha=15,0.74726,0.17092
alpha=15,0.7395,0.17386
alpha=15,0.7316,0.17687
alpha=15,0.72358,0.17995
alpha=15,0.71543,0.18312
alpha=15,0.70715,0.18637
alpha=15,0.69875,0.1897
alpha=15,0.69023,0.19312
alpha=15,0.6816,0.19661
alpha=15,0.67286,0.2002
alpha=15,0.66401,0.20387
alpha=15,0.65505,0.20764
alpha=15,0.646,0.21151
alpha=15,0.63686,0.21546
alpha=15,0.62763,0.21953
alpha=15,0.61831,0.22369
alpha=15,0.60892,0.22796
alpha=15,0.59946,0.23234
alpha=15,0.58993,0.23684
alpha=15,0.58035,0.24145
alpha=15,0.57071,0.24618
alpha=15,0.56102,0.25104
alpha=15,0.55129,0.25603
alpha=15,0.54153,0.26115
alpha=15,0.53174,0.26641
alpha=15,0.52194,0.2718
alpha=15,0.51212,0.27736
alpha=15,0.50229,0.28305
alpha=15,0.49246,0.28891
alpha=15,0.48265,0.29493
alpha=15,0.47284,0.30111
alpha=15,0.46306,0.30747
alpha=15,0.45331,0.314
alpha=15,0.44359,0.32072
alpha=15,0.43391,0.32762
alpha=15,0.42428,0.33471
alpha=15,0.41471,0.342
alpha=15,0.4052,0.34949
alpha=15,0.39575,0.35718
alpha=15,0.38638,0.36508
alpha=15,0.37708,0.37319
alpha=15,0.36787,0.38152
alpha=15,0.35875,0.39006
alpha=15,0.34972,0.39883
alpha=15,0.34079,0.40781
alpha=15,0.33197,0.41703
alpha=15,0.32325,0.42647
alpha=15,0.31465,0.43613
alpha=15,0.30616,0.44602
alpha=15,0.2978,0.45614
alpha=15,0.28955,0.46649
alpha=15,0.28144,0.47706
alpha=15,0.27345,0.48786
alpha=15,0.26559,0.49887
alpha=15,0.25787,0.51011
alpha=15,0.25029,0.52155
alpha=15,0.24284,0.53321
alpha=15,0.23553,0.54506
alpha=15,0.22837,0.55712
alpha=15,0.22134,0.56937
alpha=15,0.21446,0.58181
alpha=15,0.20772,0.59442
alpha=15,0.20112,0.60719
alpha=15,0.19467,0.62012
alpha=15,0.18837,0.6332
alpha=15,0.1822,0.64641
alpha=15,0.17618,0.65975
alpha=15,0.1703,0.67319
alpha=15,0.16456,0.68673
alpha=15,0.15897,0.70035
alpha=15,0.15351,0.71404
alpha=15,0.14819,0.72777
alpha=15,0.14301,0.74153
alpha=15,0.13797,0.75529
alpha=15,0.13306,0.76905
alpha=15,0.12828,0.78277
alpha=15,0.12363,0.79643
alpha=15,0.11911,0.81
alpha=15,0.11472,0.82344
alpha=15,0.11046,0.83672
alpha=15,0.10631,0.84978
alpha=15,0.10229,0.86262
alpha=15,0.098386,0.87522
alpha=15,0.094598,0.88757
alpha=15,0.090925,0.89961
alpha=15,0.087364,0.91132
alpha=15,0.083912,0.92262
alpha=15,0.080568,0.93347
alpha=15,0.07733,0.94381
alpha=15,0.074194,0.95359
alpha=15,0.071158,0.96274
alpha=15,0.068221,0.9712
alpha=15,0.06538,0.97891
alpha=15,0.062633,0.9858
alpha=15,0.059977,0.9918
alpha=15,0.05741,0.99681
alpha=15,0.05493,1.0008
alpha=15,0.052535,1.0035
alpha=15,0.050222,1.0051
alpha=15,0.04799,1.0052
alpha=15,0.045837,1.0039
alpha=15,0.043759,1.001
alpha=15,0.041756,0.99643
alpha=15,0.039825,0.98996
alpha=15,0.037964,0.98151
alpha=15,0.036171,0.97091
alpha=15,0.034445,0.95802
alpha=15,0.032783,0.94266
alpha=15,0.031184,0.92465
alpha=15,0.029646,0.90382
alpha=15,0.028167,0.87996
alpha=15,0.026746,0.85288
alpha=15,0.02538,0.82235
alpha=15,0.024068,0.78818
alpha=15,0.022809,0.75011
alpha=15,0.021601,0.70791
alpha=15,0.020443,0.66135
alpha=15,0.019333,0.61017
alpha=15,0.018269,0.55413
alpha=15,0.01725,0.49296
alpha=15,0.016276,0.42642
alpha=15,0.015343,0.35423
alpha=15,0.014452,0.27616
alpha=15,0.013601,0.19196
alpha=15,0.012789,0.10144
alpha=15,0.012014,0.0044785
alpha=15,0.011275,-0.099514
alpha=15,0.010572,-0.21019
alpha=15,0.0099023,-0.32797
alpha=15,0.0092657,-0.45316
alpha=15,0.008661,-0.58529
alpha=15,0.008087,-0.7248
alpha=15,0.0075428,-0.87148
alpha=15,0.0070272,-1.0252
alpha=15,0.0065393,-1.1858
alpha=15,0.006078,-1.3532
alpha=15,0.0056425,-1.527
alpha=15,0.0052316,-1.7072
alpha=15,0.0048446,-1.8934
alpha=15,0.0044803,-2.0852
alpha=15,0.004138,-2.2823
alpha=15,0.0038166,-2.4838
alpha=15,0.0035153,-2.6893
alpha=15,0.0032332,-2.8979
alpha=15,0.0029694,-3.1091
alpha=15,0.0027231,-3.3221
alpha=15,0.0024934,-3.5361
alpha=15,0.0022795,-3.7506
alpha=15,0.0020806,-3.9648
alpha=15,0.0018959,-4.1781
alpha=15,0.0017246,-4.3898
alpha=15,0.001566,-4.5992
alpha=15,0.0014194,-4.8058
alpha=15,0.001284,-5.0091
alpha=15,0.0011592,-5.2085
alpha=15,0.0010443,-5.4036
alpha=15,0.00093876,-5.5941
alpha=15,0.00084191,-5.7797
alpha=15,0.00075319,-5.96
alpha=15,0.00067206,-6.1349
alpha=15,0.00059799,-6.3042
alpha=15,0.00053051,-6.4678
alpha=15,0.00046913,-6.6255
alpha=15,0.00041342,-6.7775
alpha=15,0.00036295,-6.9237
alpha=15,0.00031735,-7.0641
alpha=15,0.00027624,-7.1988
alpha=15,0.00023927,-7.3279
alpha=15,0.00020611,-7.4516
alpha=15,0.00017648,-7.57
alpha=15,0.00015008,-7.6831
alpha=15,0.00012665,-7.7913
alpha=15,0.00010594,-7.8947
alpha=15,8.773e-05,-7.9934
alpha=15,7.1803e-05,-8.0877
alpha=15,5.7964e-05,-8.1776
alpha=15,4.6029e-05,-8.2635
alpha=15,3.5831e-05,-8.3455
alpha=15,2.7213e-05,-8.4237
alpha=15,2.003e-05,-8.4983
alpha=15,1.4151e-05,-8.5696
alpha=15,9.4511e-06,-8.6377
alpha=15,5.8186e-06,-8.7028
alpha=15,3.1491e-06,-8.7651
alpha=15,1.3469e-06,-8.8226
alpha=15,3.2412e-07,-8.8684
alpha=15,0.0,-8.9364
alpha=15,3.2412e-07,-9.0019
alpha=15,1.3469e-06,-9.0471
alpha=15,3.1491e-06,-9.1046
alpha=15,5.8186e-06,-9.1632
alpha=15,9.4511e-06,-9.2242
alpha=15,1.4151e-05,-9.2865
alpha=15,2.003e-05,-9.3503
alpha=15,2.7213e-05,-9.4156
alpha=15,3.5831e-05,-9.4822
alpha=15,4.6029e-05,-9.55
alpha=15,5.7964e-05,-9.619
alpha=15,7.1803e-05,-9.689
alpha=15,8.773e-05,-9.76
alpha=15,0.00010594,-9.8316
alpha=15,0.00012665,-9.9038
alpha=15,0.00015008,-9.9763
alpha=15,0.00017648,-10.049
alpha=15,0.00020611,-10.121
alpha=15,0.00023927,-10.192
alpha=15,0.00027624,-10.263
alpha=15,0.00031735,-10.332
alpha=15,0.00036295,-10.399
alpha=15,0.00041342,-10.464
alpha=15,0.00046913,-10.526
alpha=15,0.00053051,-10.585
alpha=15,0.00059799,-10.64
alpha=15,0.00067206,-10.691
alpha=15,0.00075319,-10.737
alpha=15,0.00084191,-10.778
alpha=15,0.00093876,-10.812
alpha=15,0.0010443,-10.84
alpha=15,0.0011592,-10.86
alpha=15,0.001284,-10.873
alpha=15,0.0014194,-10.877
alpha=15,0.001566,-10.872
alpha=15,0.0017246,-10.858
alpha=15,0.0018959,-10.835
alpha=15,0.0020806,-10.801
alpha=15,0.0022795,-10.757
alpha=15,0.0024934,-10.703
alpha=15,0.0027231,-10.639
alpha=15,0.0029694,-10.565
alpha=15,0.0032332,-10.48
alpha=15,0.0035153,-10.385
alpha=15,0.0038166,-10.281
alpha=15,0.004138,-10.168
alpha=15,0.0044803,-10.046
alpha=15,0.0048446,-9.916
alpha=15,0.0052316,-9.7785
alpha=15,0.0056425,-9.6343
alpha=15,0.006078,-9.4841
alpha=15,0.0065393,-9.3284
alpha=15,0.0070272,-9.168
alpha=15,0.0075428,-9.0037
alpha=15,0.008087,-8.836
alpha=15,0.008661,-8.6655
alpha=15,0.0092657,-8.4931
alpha=15,0.0099023,-8.3197
alpha=15,0.010572,-8.1445
alpha=15,0.011275,-7.9701
alpha=15,0.012014,-7.7958
alpha=15,0.012789,-7.6215
alpha=15,0.013601,-7.4494
alpha=15,0.014452,-7.2782
alpha=15,0.015343,-7.1088
alpha=15,0.016276,-6.9415
alpha=15,0.01725,-6.7767
alpha=15,0.018269,-6.6145
alpha=15,0.019333,-6.4551
alpha=15,0.020443,-6.2986
alpha=15,0.021601,-6.1451
alpha=15,0.022809,-5.9948
alpha=15,0.024068,-5.8476
alpha=15,0.02538,-5.7037
alpha=15,0.026746,-5.5632
alpha=15,0.028167,-5.4259
alpha=15,0.029646,-5.2919
alpha=15,0.031184,-5.1612
alpha=15,0.032783,-5.0338
alpha=15,0.034445,-4.9096
alpha=15,0.036171,-4.7886
alpha=15,0.037964,-4.6707
alpha=15,0.039825,-4.556
alpha=15,0.041756,-4.4442
alpha=15,0.043759,-4.3354
alpha=15,0.045837,-4.2295
alpha=15,0.04799,-4.1264
alpha=15,0.050222,-4.0261
alpha=15,0.052535,-3.9284
alpha=15,0.05493,-3.8334
alpha=15,0.05741,-3.7409
alpha=15,0.059977,-3.6508
alpha=15,0.062633,-3.5632
alpha=15,0.06538,-3.4778
alpha=15,0.068221,-3.3947
alpha=15,0.071158,-3.3138
alpha=15,0.074194,-3.235
alpha=15,0.07733,-3.1582
alpha=15,0.080568,-3.0833
alpha=15,0.083912,-3.0104
alpha=15,0.087364,-2.9394
alpha=15,0.090925,-2.8701
alpha=15,0.094598,-2.8025
alpha=15,0.098386,-2.7366
alpha=15,0.10229,-2.6723
alpha=15,0.10631,-2.6096
alpha=15,0.11046,-2.5483
alpha=15,0.11472,-2.4885
alpha=15,0.11911,-2.4301
alpha=15,0.12363,-2.3731
alpha=15,0.12828,-2.3173
alpha=15,0.13306,-2.2629
alpha=15,0.13797,-2.2096
alpha=15,0.14301,-2.1575
alpha=15,0.14819,-2.1066
alpha=15,0.15351,-2.0567
alpha=15,0.15897,-2.0079
alpha=15,0.16456,-1.9602
alpha=15,0.1703,-1.9134
alpha=15,0.17618,-1.8676
alpha=15,0.1822,-1.8227
alpha=15,0.18837,-1.7788
alpha=15,0.19467,-1.7357
alpha=15,0.20112,-1.6935
alpha=15,0.20772,-1.6521
alpha=15,0.21446,-1.6115
alpha=15,0.22134,-1.5717
alpha=15,0.22837,-1.5326
alpha=15,0.23553,-1.4943
alpha=15,0.24284,-1.4567
alpha=15,0.25029,-1.4199
alpha=15,0.25787,-1.3837
alpha=15,0.26559,-1.3481
alpha=15,0.27345,-1.3133
alpha=15,0.28144,-1.2791
alpha=15,0.28955,-1.2455
alpha=15,0.2978,-1.2125
alpha=15,0.30616,-1.1801
alpha=15,0.31465,-1.1483
alpha=15,0.32325,-1.1171
alpha=15,0.33197,-1.0865
alpha=15,0.34079,-1.0564
alpha=15,0.34972,-1.0269
alpha=15,0.35875,-0.99794
alpha=15,0.36787,-0.9695
alpha=15,0.37708,-0.9416
alpha=15,0.38638,-0.91421
alpha=15,0.39575,-0.88733
alpha=15,0.4052,-0.86095
alpha=15,0.41471,-0.83507
alpha=15,0.42428,-0.80968
alpha=15,0.43391,-0.78477
alpha=15,0.44359,-0.76033
alpha=15,0.45331,-0.73636
alpha=15,0.46306,-0.71284
alpha=15,0.47284,-0.68979
alpha=15,0.48265,-0.66717
alpha=15,0.49246,-0.64499
alpha=15,0.50229,-0.62325
alpha=15,0.51212,-0.60193
alpha=15,0.52194,-0.58104
alpha=15,0.53174,-0.56055
alpha=15,0.54153,-0.54047
alpha=15,0.55129,-0.52079
alpha=15,0.56102,-0.50151
alpha=15,0.57071,-0.48263
alpha=15,0.58035,-0.46413
alpha=15,0.58993,-0.44601
alpha=15,0.59946,-0.42827
alpha=15,0.60892,-0.4109
alpha=15,0.61831,-0.39391
alpha=15,0.62763,-0.37729
alpha=15,0.63686,-0.36104
alpha=15,0.646,-0.34515
alpha=15,0.65505,-0.32964
alpha=15,0.66401,-0.31448
alpha=15,0.67286,-0.29969
alpha=15,0.6816,-0.28527
alpha=15,0.69023,-0.27121
alpha=15,0.69875,-0.25752
alpha=15,0.70715,-0.24419
alpha=15,0.71543,-0.23124
alpha=15,0.72358,-0.21865
alpha=15,0.7316,-0.20644
alpha=15,0.7395,-0.19459
alpha=15,0.74726,-0.18312
alpha=15,0.75489,-0.17201
alpha=15,0.76238,-0.16129
alpha=15,0.76973,-0.15092
alpha=15,0.77694,-0.14093
alpha=15,0.78402,-0.1313
alpha=15,0.79095,-0.12204
alpha=15,0.79774,-0.11314
alpha=15,0.80439,-0.10458
alpha=15,0.8109,-0.096383
alpha=15,0.81727,-0.088526
alpha=15,0.82349,-0.081008
alpha=15,0.82957,-0.073818
alpha=15,0.83551,-0.066946
alpha=15,0.84132,-0.060393
alpha=15,0.84698,-0.054141
alpha=15,0.8525,-0.04818
alpha=15,0.85789,-0.042506
alpha=15,0.86315,-0.037112
alpha=15,0.86827,-0.031978
alpha=15,0.87325,-0.027099
alpha=15,0.87811,-0.022463
alpha=15,0.88284,-0.01806
alpha=15,0.88744,-0.01388
alpha=15,0.89191,-0.0099114
alpha=15,0.89626,-0.0061497
alpha=15,0.9005,-0.0025787
alpha=15,0.90461,0.00080684
alpha=15,0.9086,0.0040175
alpha=15,0.91249,0.007064
alpha=15,0.91626,0.0099515
alpha=15,0.91991,0.012685
alpha=15,0.92347,0.015287
alpha=15,0.92691,0.017745
alpha=15,0.93025,0.020082
alpha=15,0.9335,0.022302
alpha=15,0.93664,0.024405
alpha=15,0.93969,0.026397
alpha=15,0.94264,0.028294
alpha=15,0.9455,0.030095
alpha=15,0.94827,0.031801
alpha=15,0.95096,0.033428
alpha=15,0.95356,0.03497
alpha=15,0.95608,0.036437
alpha=15,0.95852,0.037831
alpha=15,0.96087,0.03916
alpha=15,0.96316,0.040427
alpha=15,0.96537,0.041629
alpha=15,0.9675,0.042779
alpha=15,0.96957,0.043871
alpha=15,0.97157,0.044914
alpha=15,0.9735,0.045916
alpha=15,0.97537,0.046864
alpha=15,0.97718,0.047775
alpha=15,0.97892,0.04865
alpha=15,0.98061,0.049487
alpha=15,0.98224,0.050292
alpha=15,0.98381,0.05106
alpha=15,0.98534,0.051802
alpha=15,0.98681,0.052507
alpha=15,0.98823,0.053179
alpha=15,0.9896,0.053805
alpha=15,0.99092,0.054377
alpha=15,0.9922,0.054848
alpha=15,0.99344,0.05524
alpha=15,0.99463,0.055384
alpha=15,0.99578,0.055882
alpha=15,0.99689,0.055426
alpha=15,0.99797,0.058849
alpha=15,0.999,0.045587
alpha=15,1.0,0.053481
